cell_line,comparison,gene_set_library,pathway,enrichment_score,normalized_enrichment_score,nominal_p_value,false_discovery_rate,family_wise_error_rate,gene_set_size,matched_genes,leading_edge_genes,direction
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Estrogen Response Early,0.6867965217016283,1.4568535305352694,0.006097560975609756,0.16320746091249885,0.097,106/200,5.10%,GFRA1;SLC26A2;KRT18;KRT19;SLC9A3R1;KRT8;FOS;SH3BP5;CCND1;RHOBTB3;BCL2;ELOVL5;HSPB8;FDFT1;FKBP4;FASN;TFF1;PTGES;SLC7A2;MED13L;PGR;UGCG;SLC2A1;EGR3;AMFR;IGF1R;THSD4;CLDN7;SEMA3B;TGIF2;XBP1;KCNK5;IGFBP4;CHPT1;DHCR7;CALB2;GREB1;MYC;RET;MAST4;FLNB;SULT2B1;JAK2;BLVRB;SLC24A3;UNC119;KLF4;SLC39A6;SVIL;PMAIP1;INPP5F;WWC1;ZNF185;KDM4B;CA12;RAB31;PODXL;CXCL12;CBFA2T3;CELSR2;STC2;CELSR1;KCNK15;RHOD;ABAT;FARP1;FOXC1;FAM102A;SYNGR1;HR;REEP1;TFAP2C;ABHD2;OLFM1;MYBBP1A;BAG1;PAPSS2;MSMB;MAPT;KAZN;SCARB1;TPD52L1;CCN5;AQP3;IL17RB;SLC22A5;ADCY1;SNX24;MYOF;PLAAT3;CISH;P2RY2;CLIC3;RASGRP1;FHL2;DLC1;DYNLT3;MICB;NBL1;AREG;KRT15;PPIF;RAPGEFL1;PDZK1;GJA1;RPS6KA2,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.6645130235428438,1.4138961186230115,0.006024096385542169,0.1761604340007924,0.151,59/200,5.65%,RHOB;JUN;TIMP3;WIPF1;CCN2;CD59;ITGA2;TPM1;SDC1;IGFBP4;TIMP1;TPM4;LAMC1;PMEPA1;PFN2;TNFRSF12A;ENO2;COL6A2;SGCG;VEGFA;LGALS1;CXCL12;CADM1;CCN1;TGFB1;FSTL3;SLC6A8;CRLF1;PPIB;MGP;FERMT2;FLNA;ITGAV;TNFRSF11B;LRP1;QSOX1;PLOD3;CAPG;PCOLCE;DAB2;COL1A1;MEST;EMP3;IGFBP2;PMP22;TPM2;COL5A1;APLP1;CAP2;THBS1;ITGB5;LAMA3;AREG;FZD8;MSX1;GJA1;IGFBP3;P3H1;COL7A1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Myc Targets V1,0.6897549255015715,1.4844216140301292,0.0,0.23004480204809363,0.069,124/200,4.64%,HNRNPA3;HSP90AB1;NPM1;HNRNPA1;RPL18;IMPDH2;TRIM28;PA2G4;HSPD1;HNRNPD;HNRNPA2B1;CBX3;RACK1;PPIA;VDAC1;PGK1;NAP1L1;CCT2;SLC25A3;SRSF7;NOP56;GLO1;PABPC4;LDHA;ERH;PSMA7;RPS10;HPRT1;CYC1;CCT4;SRSF1;SRSF3;PHB2;NOLC1;HNRNPC;RPL6;PABPC1;POLD2;DDX21;XRCC6;SSBP1;HSPE1;FBL;EIF3D;SNRPB2;RRM1;EIF1AX;CCT7;MYC;UBE2E1;CTPS1;RANBP1;PSMA4;PSMB3;NDUFAB1;RAN;GNL3;NOP16;SNRPA1;SMARCC1;DUT;KPNA2;TCP1;KPNB1;SRSF2;TFDP1;LSM2;SNRPD1;MAD2L1;EIF3B;CCT3;MCM6;CLNS1A;C1QBP;CAD;PSMA2;PSMA1;ETF1;CCT5;ACP1;RPL34;SYNCRIP;AP3S1;HDDC2;PRDX4;UBA2;ILF2;CDK2;YWHAE;SNRPA;CNBP;ORC2;TYMS;PSMD3;SSB;RRP9;RPS6;PSMB2;NME1;ABCE1;PTGES3;PSMD14;PSMD1;RNPS1;HDAC2;DEK;EIF4A1;MCM2;EXOSC7;CCNA2;RUVBL2;PSMC4;AIMP2;RFC4;PRPS2;PCNA;XPO1;EIF2S1;SNRPD3;GOT2;PSMD8;NCBP1;EIF4E;SET,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.7132382477745403,1.3403102554353579,0.03076923076923077,0.23999268537990306,0.303,41/74,5.08%,ACTG1;CLU;SCD;LDLR;FDFT1;FASN;IDI1;FDPS;SEMA3B;ATF3;ACAT2;CD9;DHCR7;SREBF2;ANXA5;SQLE;LSS;EBP;ALCAM;ALDOC;TNFRSF12A;PCYT2;ABCA2;FADS2;FABP5;TM7SF2;PDK3;HMGCS1;ATXN2;GUSB;CXCL16;ACSS2;CYP51A1;MVD;MVK;HMGCR;HSD17B7;PLSCR1;STARD4;CTNNB1;LGALS3,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Pancreas Beta Cells,0.781337647910817,1.3239725375130273,0.08459214501510574,0.24040718051872845,0.352,5/40,2.35%,SEC11A;CHGA;SRP14;STXBP1;SPCS1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Estrogen Response Late,0.6242070420201329,1.3468665205002488,0.011834319526627219,0.2790070403218433,0.285,87/200,5.10%,COX6C;SLC26A2;KRT19;SLC9A3R1;FOS;CCND1;BCL2;ELOVL5;HSPB8;IDH2;FDFT1;FKBP4;TFF1;DUSP2;PTGES;CKB;PGR;MOCS2;EGR3;AMFR;HPRT1;SEMA3B;XBP1;KCNK5;IGFBP4;GALE;CHPT1;CD9;DHCR7;RET;SLC29A1;ZFP36;FLNB;SULT2B1;JAK2;BLVRB;SLC24A3;KLF4;EMP2;IGSF1;JAK1;METTL3;CA12;RAB31;CXCL12;FABP5;CELSR2;FARP1;FOXC1;FAM102A;HR;HSPA4L;TFAP2C;ABHD2;NAB2;DLG5;FGFR3;SNX10;OLFM1;BAG1;PAPSS2;MAPT;SCARB1;TPD52L1;LLGL2;CCN5;LARGE1;ISG20;IL17RB;SLC22A5;MEST;PKP3;MYOF;ASCL1;PLAAT3;CISH;CLIC3;DCXR;CCNA1;DYNLT3;MICB;NBL1;AREG;PPIF;RAPGEFL1;PDZK1;RPS6KA2,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Myc Targets V2,0.701215165126695,1.2660183166939811,0.11726384364820847,0.3330764508418344,0.52,28/58,5.13%,NPM1;PA2G4;HSPD1;CBX3;UNG;DUSP2;NOP56;NOLC1;HSPE1;MYC;GNL3;NOP16;LAS1L;FARSA;SLC29A2;WDR43;RRP9;IPO4;UTP20;MYBBP1A;PRMT3;MAP3K6;AIMP2;BYSL;EXOSC5;TFB2M;PPRC1;TBRG4,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,mTORC1 Signaling,0.5597001512459102,1.2032496245641273,0.0658682634730539,0.3507194095106685,0.705,83/200,3.84%,GAPDH;SLC9A3R1;ENO1;SEC11A;INSIG1;HSPD1;FADS1;SCD;HSP90B1;SYTL2;LDLR;ACSL3;PPIA;UNG;ELOVL5;GPI;PGK1;PSMA3;IDI1;ELOVL6;TOMM40;SLC2A1;G6PD;LDHA;PPA1;HPRT1;RRM2;DHCR24;XBP1;AK4;CD9;GMPS;DHCR7;LTA4H;HSPE1;ATP2A2;SQLE;ATP5MC1;HSPA4;PSMA4;ACLY;PSMG1;EBP;ACACA;USO1;ADIPOR2;STC1;CACYBP;HMBS;ETF1;TFRC;SERP1;FADS2;PRDX1;SLC6A6;TM7SF2;HMGCS1;RRP9;IGFBP5;ALDOA;SLC37A4;RDH11;NUFIP1;DDX39A;PSMD14;EDEM1;P4HA1;PFKL;CYP51A1;IMMT;CCT6A;MCM2;SLC1A5;PSMD13;UCHL5;SLC2A3;ERO1A;PSMC4;UBE2D3;PDK1;HMGCR;CORO1A;POLR3G,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Angiogenesis,0.7519091607445988,1.2274761702741228,0.19941348973607037,0.359919945546717,0.641,12/36,4.89%,APP;TIMP1;PDGFA;STC1;VEGFA;JAG2;VAV2;PTK2;NRP1;ITGAV;THBD;MSX1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Androgen Response,0.6006364313306801,1.2075032323824966,0.10526315789473684,0.3742891103593307,0.694,36/100,4.41%,SLC26A2;KRT19;KRT8;CCND1;PA2G4;INSIG1;FADS1;SCD;ACSL3;ELOVL5;IDI1;DHCR24;ZBTB10;XRCC6;SMS;B2M;SRF;ACTN1;XRCC5;INPP4B;SLC38A2;PMEPA1;DBI;SEC24D;HMGCS1;CAMKK2;ABHD2;PDLIM5;PTPN21;ITGAV;HMGCR;AKT1;SPCS3;CCND3;HSD17B14;UAP1,positive
