cell_line,comparison,gene_set_library,pathway,enrichment_score,normalized_enrichment_score,nominal_p_value,false_discovery_rate,family_wise_error_rate,gene_set_size,matched_genes,leading_edge_genes,direction
MCF7,REPOP_vs_CTR,Reactome_2022,Olfactory Signaling Pathway R-HSA-381753,0.789232753440945,1.800637764665063,0.0,0.0,0.0,3/394,3.28%,GNB1;REEP1;LHX2,positive
MCF7,REPOP_vs_TIS,MSigDB_Hallmark_2020,E2F Targets,0.898396543738799,1.6972271164725592,0.0,0.0,0.0,167/200,5.27%,HMGB2;H2AZ1;SMC4;ANP32E;CKS1B;TOP2A;MKI67;TMPO;RAD21;CBX5;LMNB1;DEK;SNRPB;STMN1;MTHFD2;UBE2S;ATAD2;UNG;UBE2T;SSRP1;KIF22;AURKB;PTTG1;EZH2;RAD51C;CDK1;TIMELESS;SRSF2;NCAPD2;MCM3;PSIP1;BIRC5;HMGA1;RRM2;DNMT1;SMC3;TK1;USP1;PLK1;RACGAP1;MAD2L1;CDKN3;MYBL2;ILF3;CENPE;CDKN1B;HELLS;NUP205;RPA3;EXOSC8;MCM7;NASP;BRCA2;RNASEH2A;DLGAP5;MCM2;ASF1B;TACC3;AURKA;CDC20;TRA2B;GINS1;HNRNPD;HMMR;RANBP1;SPAG5;BRCA1;PCNA;CCP110;MCM4;CCNB2;CKS2;MELK;H2AX;DUT;CDC25B;PRDX4;CIT;MCM6;MXD3;CHEK2;ESPL1;RFC2;CHEK1;DCLRE1B;KIF2C;ORC6;NOLC1;HMGB3;CDCA3;BARD1;PAN2;SPC24;DEPDC1;KIF4A;RFC3;XRCC6;SHMT1;RBBP7;CDCA8;MCM5;PHF5A;DDX39A;KPNA2;MRE11;NUP107;PAICS;LIG1;SRSF1;NUDT21;POLD3;TCF19;PDS5B;SPC25;SMC1A;POLE;CNOT9;PRKDC;TP53;RAD51AP1;CENPM;STAG1;SMC6;RPA2;BUB1B;POLD2;UBR7;RPA1;KIF18B;TBRG4;PLK4;MSH2;DIAPH3;POLD1;TRIP13;IPO7;DSCC1;PSMC3IP;LBR;MYC;ORC2;RAD1;CDKN2C;NAA38;PPP1R8;E2F8;PMS2;CTCF;MMS22L;TUBG1;DCTPP1;RAN;GINS4;SLBP;CDC25A;LUC7L3;TIPIN;GINS3;DCK;ING3;SYNCRIP;SUV39H1;CDK4;CTPS1;XPO1;LYAR;DONSON,positive
MCF7,REPOP_vs_TIS,MSigDB_Hallmark_2020,G2-M Checkpoint,0.8610109206625115,1.6426650732310573,0.0,0.0,0.0,148/200,5.14%,SLC7A5;H2AZ1;HMGN2;SMC4;CKS1B;TOP2A;TPX2;MKI67;TMPO;RAD21;LMNB1;SMC2;CENPF;STMN1;H2AZ2;UBE2S;PRC1;KIF22;AURKB;PTTG1;EZH2;CDK1;SRSF2;MCM3;BIRC5;HMGA1;PLK1;KIF11;KIF20B;RACGAP1;MAD2L1;CDKN3;MYBL2;ILF3;CENPE;TROAP;UBE2C;EWSR1;CDKN1B;KIF23;CCNA2;SLC7A1;NASP;BRCA2;MCM2;NDC80;PBK;TACC3;AURKA;CDC20;TRA2B;KIF5B;DTYMK;HNRNPD;SFPQ;NSD2;DBF4;KNL1;HMMR;BUB1;CCNB2;CKS2;CCNF;H2AX;CDC25B;CBX1;MCM6;CHAF1A;ESPL1;CHEK1;KIF2C;ORC6;KIF15;NOLC1;HMGB3;MT2A;TTK;BARD1;SNRPD1;KIF4A;TLE3;HNRNPU;DKC1;FBXO5;MCM5;DDX39A;NCL;NEK2;KPNB1;KPNA2;TFDP1;E2F1;INCENP;CASP8AP2;SRSF1;UCK2;LIG3;FOXN3;CDC45;PDS5B;STIL;SRSF10;SMC1A;POLE;CDC6;SMARCC1;STAG1;CENPA;RPA2;TNPO2;MNAT1;RPS6KA5;NUMA1;ODF2;SAP30;PRMT5;PLK4;CDC27;CDC7;ODC1;PRPF4B;PURA;LBR;MYC;CDKN2C;NUSAP1;EXO1;HOXC10;SLC38A1;RAD54L;RBL1;POLQ;CTCF;KMT5A;FANCC;AMD1;CDC25A;E2F2;TRAIP;NUP50;RBM14;ABL1;GINS2;SYNCRIP;SUV39H1;CDK4;XPO1;MAP3K20,positive
MCF7,REPOP_vs_TIS,MSigDB_Hallmark_2020,Myc Targets V1,0.8045745599814308,1.5119679656671734,0.0,0.003190953367295527,0.019,138/200,6.45%,H2AZ1;RPL18;FBL;RPS2;RACK1;PHB2;HNRNPA1;DEK;HNRNPA2B1;SNRPD2;SRSF7;RRM1;HDGF;SRSF2;SRSF3;CYC1;USP1;HNRNPR;TRIM28;PRDX3;SLC25A3;MAD2L1;XPOT;SET;RPLP0;CCNA2;SNRPA;MCM7;MCM2;GLO1;SNRPA1;SNRPG;RPS10;CDC20;TRA2B;HNRNPD;LSM2;RPS5;RANBP1;HNRNPC;PCNA;IARS1;C1QBP;STARD7;MCM4;MRPS18B;DUT;RFC4;PRDX4;MCM6;POLE3;NOLC1;YWHAQ;RPL6;SNRPD1;HNRNPA3;XRCC6;HNRNPU;CDK2;LSM7;MCM5;MRPL23;NHP2;KPNB1;KPNA2;PPIA;TFDP1;TUFM;SRSF1;CNBP;ILF2;RPS6;CDC45;UBA2;PHB;SF3B3;RPL14;SMARCC1;ERH;GOT2;POLD2;RSL1D1;SERBP1;RPL34;SNRPB2;COX5A;ODC1;MRPL9;VDAC3;PTGES3;EIF2S2;MYC;ORC2;PSMD8;NPM1;EIF3D;CBX3;SF3A1;EPRS1;PSMA2;RUVBL2;CAD;COPS5;PSMA4;HDAC2;TCP1;CCT3;TXNL4A;RAN;RPL22;TYMS;CCT4;SRPK1;EIF1AX;VBP1;EIF4E;DDX18;CSTF2;HSPD1;SYNCRIP;CCT7;CDK4;YWHAE;SNRPD3;CTPS1;XPO1;ABCE1;PSMB2;ACP1;PRPS2;APEX1;PGK1;PSMA1;NOP16;NOP56;GNL3;PRPF31;HPRT1,positive
MCF7,REPOP_vs_TIS,MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,-0.7490753294881711,-1.5881692659915863,0.0,0.017934706459296623,0.008,71/200,5.05%,FLNA;TNFRSF12A;THBS1;PMEPA1;CADM1;IGFBP4;ITGB1;MGP;DKK1;TPM1;CD59;TNFRSF11B;GADD45A;DST;BASP1;SAT1;ACTA2;LAMC1;FSTL3;SERPINH1;COL5A1;PLOD3;ITGB5;MATN2;TIMP3;FAS;TGFB1;PMP22;GEM;TIMP1;MATN3;ITGAV;QSOX1;NT5E;INHBA;TPM2;SDC1;LOXL2;BMP1;ITGA2;CXCL12;SLC6A8;FZD8;CAP2;HTRA1;PFN2;FN1;VIM;PVR;EDIL3;AREG;LRRC15;VEGFA;GPC1;FERMT2;TFPI2;SGCB;CD44;TGFBI;CALD1;IGFBP3;LAMA3;COL12A1;COL16A1;OXTR;SNAI2;FUCA1;IL32;SERPINE1;SERPINE2;RHOB,negative
MCF7,REPOP_vs_TIS,MSigDB_Hallmark_2020,Coagulation,-0.7527119179333855,-1.5431076969317161,0.0035842293906810036,0.025781140535238896,0.023,36/138,5.58%,PRSS23;CLU;GSN;THBS1;WDR1;CRIP2;RAC1;TIMP3;ANXA1;KLF7;TIMP1;ISCU;GNB2;GNG12;S100A13;BMP1;ITGA2;DUSP14;ADAM9;LAMP2;CAPN2;HTRA1;CSRP1;FN1;ARF4;TFPI2;CPQ;CD9;SH2B2;F8;SERPINE1;THBD;MAFF;SERPINA1;CFD;FYN,negative
MCF7,REPOP_vs_TIS,MSigDB_Hallmark_2020,Angiogenesis,-0.9104345594665302,-1.5177279937368136,0.011299435028248588,0.03512213348278922,0.046,20/36,7.21%,NRP1;LRPAP1;TNFRSF21;TIMP1;PDGFA;ITGAV;APP;VAV2;STC1;JAG2;S100A4;VEGFA;JAG1;SLCO2A1;PTK2;THBD;MSX1;VTN;KCNJ8;COL5A2,negative
MCF7,REPOP_vs_TIS,Reactome_2022,Keratinization R-HSA-6805567,-0.8536595984703396,-1.8045005020177605,0.0,0.0,0.0,30/205,5.88%,KRT80;JUP;KRT7;KRT19;KRT15;PPL;KRT8;CAPN1;RCAN1;IVL;KRT18;PERP;PCSK6;KRT16;PRSS8;EVPL;PKP3;KRT32;ST14;PKP4;KRT13;CDSN;KRT10;CAPNS1;KRT17;KLK5;KRT83;KRTAP3-1;SPRR3;KRTAP5-10,negative
MCF7,REPOP_vs_TIS,Reactome_2022,Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,0.8316519167239931,1.6082182803338179,0.0,0.0030545775996183968,0.003,174/242,6.56%,HNRNPA1;SNRPB;HNRNPA2B1;HNRNPUL1;SNRPD2;SRSF7;FUS;SRSF2;SRSF3;PRPF8;SNRNP200;HNRNPR;PCBP2;LSM4;RBM8A;NUP205;NUP210;SNRPA;HNRNPM;SNRPA1;SNRPG;TRA2B;HNRNPD;LSM2;PRPF4;DDX46;HNRNPA0;SNRPF;HNRNPH1;HNRNPC;RBMX;PTBP1;NUP62;HNRNPF;LSM5;PRPF3;NUP160;HNRNPA3;USP39;NUP85;CASC3;HNRNPU;CPSF2;LSM7;NUP37;PHF5A;DDX23;DDX39A;NUP88;NXT1;NUP107;SNRPE;SRSF1;NUDT21;PRPF38A;SF3A3;SRRM1;SEC13;CDC5L;SNRNP25;PUF60;THOC3;SRSF10;U2SURP;EFTUD2;SF3B3;PPIL1;YBX1;SNRNP48;THOC2;CPSF3;POLR2H;NDC1;POLR2E;SRSF4;POLR2C;UPF3B;MAGOH;SRSF9;NUP54;AAAS;SNRPB2;NUP188;GTF2F1;SRRM2;SNW1;CSTF1;NUP58;SF3B4;DHX16;PPIL3;CWC15;GLE1;LSM6;CPSF6;PDCD7;POLR2I;PPIH;RBM42;PABPN1;PAPOLA;DNAJC8;ALYREF;ELAVL1;SF3A1;THOC5;SNRNP40;RBM22;SNRPC;EIF4A3;THOC1;WTAP;METTL3;AQR;METTL14;LSM3;THOC6;SRSF6;MAGOHB;WBP11;POLDIP3;LSM8;WBP4;TXNL4A;SF3B2;SLBP;SF3A2;CTNNBL1;SART1;CSTF2T;PQBP1;PPIE;SF3B1;CWC22;NUP155;CWC27;POLR2K;SNRNP27;EIF4E;CWC25;NUP50;PRPF40A;NUP43;ZCRB1;CSTF2;CRNKL1;HNRNPL;PPWD1;ZMAT5;RBM17;MTREX;XAB2;SMNDC1;SNRPD3;POLR2G;GCFC2;CPSF4;SYMPK;TFIP11;CHERP;GPKOW;NUP133;POLR2A;NUP214;CDC40;SF1;CSTF3;SRSF11;NUP93;PLRG1;SNRNP35;PRPF31;NUP35;POLR2D,positive
MCF7,REPOP_vs_TIS,Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,0.8314697684593975,1.5670012126306094,0.0014005602240896359,0.004327318266126062,0.013,133/181,6.56%,HNRNPA1;SNRPB;HNRNPA2B1;HNRNPUL1;SNRPD2;SRSF7;FUS;SRSF2;SRSF3;PRPF8;SNRNP200;HNRNPR;PCBP2;LSM4;RBM8A;SNRPA;HNRNPM;SNRPA1;SNRPG;TRA2B;HNRNPD;LSM2;PRPF4;DDX46;HNRNPA0;SNRPF;HNRNPH1;HNRNPC;RBMX;PTBP1;HNRNPF;LSM5;PRPF3;HNRNPA3;USP39;CASC3;HNRNPU;CPSF2;LSM7;PHF5A;DDX23;SNRPE;SRSF1;NUDT21;PRPF38A;SF3A3;SRRM1;CDC5L;PUF60;SRSF10;U2SURP;EFTUD2;SF3B3;PPIL1;YBX1;CPSF3;POLR2H;POLR2E;SRSF4;POLR2C;UPF3B;MAGOH;SRSF9;SNRPB2;GTF2F1;SRRM2;SNW1;CSTF1;SF3B4;DHX16;PPIL3;CWC15;LSM6;CPSF6;POLR2I;PPIH;RBM42;PABPN1;PAPOLA;DNAJC8;ALYREF;ELAVL1;SF3A1;SNRNP40;RBM22;SNRPC;EIF4A3;AQR;LSM3;SRSF6;MAGOHB;WBP11;LSM8;WBP4;TXNL4A;SF3B2;SF3A2;CTNNBL1;SART1;CSTF2T;PQBP1;PPIE;SF3B1;CWC22;CWC27;POLR2K;SNRNP27;CWC25;PRPF40A;CSTF2;CRNKL1;HNRNPL;PPWD1;RBM17;MTREX;XAB2;SMNDC1;SNRPD3;POLR2G;GCFC2;CPSF4;SYMPK;TFIP11;CHERP;GPKOW;POLR2A;CDC40;SF1;CSTF3;SRSF11;PLRG1;PRPF31;POLR2D,positive
