model,feature,coefficient,absolute_coefficient
rap_only,rap_score,1.3123008871196506,1.3123008871196506
pathways_only,pathway__interferon_alpha_beta_signaling_r_hsa_909733,-1.0764202335662028,1.0764202335662028
pathways_only,pathway__e2f_targets,1.016736095193275,1.016736095193275
pathways_only,pathway__g2_m_checkpoint,-0.9068948088028538,0.9068948088028538
pathways_only,pathway__interferon_gamma_response,-0.7887763191837429,0.7887763191837429
pathways_only,pathway__binding_and_uptake_of_ligands_by_scavenger_receptors_r_hsa_2173782,-0.6672408779377125,0.6672408779377125
pathways_only,pathway__immunoregulatory_interactions_between_a_lymphoid_and_a_non_lymphoid_cell_r_hsa_198933,0.46700226208718204,0.46700226208718204
pathways_only,pathway__keratinization_r_hsa_6805567,-0.27987958762646675,0.27987958762646675
pathways_only,pathway__cell_cell_communication_r_hsa_1500931,-0.22563495903490263,0.22563495903490263
pathways_only,pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,0.16264415264573132,0.16264415264573132
pathways_only,pathway__interferon_alpha_response,-0.14159163264403007,0.14159163264403007
regulators_only,regulator__JUN,-0.28840466068858955,0.28840466068858955
regulators_only,regulator__FOS,0.258240540742309,0.258240540742309
regulators_only,regulator__STAT3,-0.1929256017611023,0.1929256017611023
regulators_only,regulator__E2F1,0.17893287848712433,0.17893287848712433
regulators_only,regulator__TP53,0.058518567035280626,0.058518567035280626
regulators_only,regulator__MYC,-0.040975896025191555,0.040975896025191555
rap_plus_pathways,rap_score,3.538383358982592,3.538383358982592
rap_plus_pathways,pathway__g2_m_checkpoint,-3.1013892227493556,3.1013892227493556
rap_plus_pathways,pathway__e2f_targets,0.8271267824716342,0.8271267824716342
rap_plus_pathways,pathway__interferon_alpha_beta_signaling_r_hsa_909733,-0.6843520388827402,0.6843520388827402
rap_plus_pathways,pathway__interferon_gamma_response,-0.5778814143266106,0.5778814143266106
rap_plus_pathways,pathway__binding_and_uptake_of_ligands_by_scavenger_receptors_r_hsa_2173782,-0.511421622492098,0.511421622492098
rap_plus_pathways,pathway__immunoregulatory_interactions_between_a_lymphoid_and_a_non_lymphoid_cell_r_hsa_198933,0.3162099278020432,0.3162099278020432
rap_plus_pathways,pathway__interferon_alpha_response,0.27789760875675645,0.27789760875675645
rap_plus_pathways,pathway__keratinization_r_hsa_6805567,0.08358056883988588,0.08358056883988588
rap_plus_pathways,pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,0.08064720588766422,0.08064720588766422
rap_plus_pathways,pathway__cell_cell_communication_r_hsa_1500931,0.048363893219155754,0.048363893219155754
rap_plus_regulators,rap_score,1.3268864442970345,1.3268864442970345
rap_plus_regulators,regulator__FOS,0.2913971472568895,0.2913971472568895
rap_plus_regulators,regulator__JUN,-0.08676873322352335,0.08676873322352335
rap_plus_regulators,regulator__TP53,-0.07375172716229093,0.07375172716229093
rap_plus_regulators,regulator__MYC,-0.06468094938498566,0.06468094938498566
rap_plus_regulators,regulator__STAT3,0.0187662488559153,0.0187662488559153
rap_plus_regulators,regulator__E2F1,-0.0043287706561297564,0.0043287706561297564
pathways_plus_regulators,pathway__e2f_targets,1.0850415837872558,1.0850415837872558
pathways_plus_regulators,pathway__interferon_alpha_beta_signaling_r_hsa_909733,-1.0734737026228869,1.0734737026228869
pathways_plus_regulators,pathway__g2_m_checkpoint,-0.9645369077650294,0.9645369077650294
pathways_plus_regulators,pathway__interferon_gamma_response,-0.8793845762541622,0.8793845762541622
pathways_plus_regulators,pathway__binding_and_uptake_of_ligands_by_scavenger_receptors_r_hsa_2173782,-0.6676141855638975,0.6676141855638975
pathways_plus_regulators,pathway__immunoregulatory_interactions_between_a_lymphoid_and_a_non_lymphoid_cell_r_hsa_198933,0.46583614234684473,0.46583614234684473
pathways_plus_regulators,regulator__FOS,0.32597288576045846,0.32597288576045846
pathways_plus_regulators,pathway__keratinization_r_hsa_6805567,-0.27140677193586793,0.27140677193586793
pathways_plus_regulators,regulator__MYC,-0.23400557544963518,0.23400557544963518
pathways_plus_regulators,pathway__cell_cell_communication_r_hsa_1500931,-0.22958215972961868,0.22958215972961868
pathways_plus_regulators,pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,0.1812712567404765,0.1812712567404765
pathways_plus_regulators,pathway__interferon_alpha_response,-0.12685752548218307,0.12685752548218307
pathways_plus_regulators,regulator__TP53,-0.09097859615673941,0.09097859615673941
pathways_plus_regulators,regulator__STAT3,0.08765051370507497,0.08765051370507497
pathways_plus_regulators,regulator__JUN,-0.08459552229586384,0.08459552229586384
pathways_plus_regulators,regulator__E2F1,0.013203890236200461,0.013203890236200461
full_model,rap_score,3.6378619594569157,3.6378619594569157
full_model,pathway__g2_m_checkpoint,-3.059208201791989,3.059208201791989
full_model,pathway__e2f_targets,0.7023506541590037,0.7023506541590037
full_model,pathway__interferon_alpha_beta_signaling_r_hsa_909733,-0.647766776877673,0.647766776877673
full_model,pathway__interferon_gamma_response,-0.639184375198155,0.639184375198155
full_model,pathway__binding_and_uptake_of_ligands_by_scavenger_receptors_r_hsa_2173782,-0.500437759469436,0.500437759469436
full_model,pathway__immunoregulatory_interactions_between_a_lymphoid_and_a_non_lymphoid_cell_r_hsa_198933,0.36222520343505943,0.36222520343505943
full_model,regulator__FOS,0.3163221891815104,0.3163221891815104
full_model,pathway__interferon_alpha_response,0.20692566002729415,0.20692566002729415
full_model,regulator__E2F1,0.1982119363734587,0.1982119363734587
full_model,regulator__MYC,-0.14167783132388495,0.14167783132388495
full_model,regulator__STAT3,0.09069972339937574,0.09069972339937574
full_model,pathway__keratinization_r_hsa_6805567,0.08676843776284805,0.08676843776284805
full_model,pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,0.06346679387928464,0.06346679387928464
full_model,regulator__TP53,-0.06014596362314074,0.06014596362314074
full_model,pathway__cell_cell_communication_r_hsa_1500931,0.04627995586453596,0.04627995586453596
full_model,regulator__JUN,-0.018295756240932912,0.018295756240932912
