accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,model,held_out_cell_line,n_features,n_test_cells
0.7294077986290595,0.5,0.0,0.0,0.0,0.5,0.27059220137094053,majority_class,MCF7,0,26697
0.6805211035579709,0.5,0.0,0.0,0.0,0.5,0.31947889644202915,majority_class,T47D,0,52811
0.6688391954152152,0.6962809097800122,0.4355314568216251,0.7560908084163898,0.5526941563369593,0.7720362973544481,0.48821439379354703,rap_only,MCF7,1,26697
0.7036602223021718,0.6829670562512469,0.530718954248366,0.6256519677572309,0.5742886676459388,0.7905989758527537,0.5567359371972747,rap_only,T47D,1,52811
0.4600142338090422,0.5951908793383394,0.32063048683160417,0.8898117386489479,0.471399237312995,0.6322646943528989,0.36128744038128985,pathways_only,MCF7,10,26697
0.6797447501467497,0.6889321013567178,0.4991510332546486,0.7143788525367473,0.587678880518784,0.7510859867909313,0.5193235553488732,pathways_only,T47D,10,52811
0.42360564857474625,0.5680999251369944,0.30489436956313926,0.8830287929125138,0.4532793292119662,0.5956112693220513,0.32309965716803213,regulators_only,MCF7,6,26697
0.6699929938838499,0.5016666869845355,0.341324200913242,0.03544333807491702,0.06421821305841924,0.5546102804511057,0.34828324444917874,regulators_only,T47D,6,52811
0.6758811851518898,0.7325419317282827,0.448213379720229,0.8560354374307863,0.5883640169354455,0.8044165377292999,0.5617003730021938,rap_plus_pathways,MCF7,11,26697
0.7562818352237223,0.775950804192463,0.5832812955330752,0.8304291133238502,0.6852517545790233,0.8470375742438346,0.6657049256470962,rap_plus_pathways,T47D,11,52811
0.6368131250702326,0.7312740334048012,0.4228078940794404,0.9371539313399778,0.5827164744362197,0.782665597292648,0.5163376859719465,rap_plus_regulators,MCF7,7,26697
0.6890988619795119,0.540482919922094,0.5581514762516047,0.1288525367472736,0.20937063610535947,0.7504456226477532,0.5124507243286313,rap_plus_regulators,T47D,7,52811
0.4900176049743417,0.6014340944519313,0.32809726182150734,0.8442691029900332,0.47255258978034326,0.6304787291305296,0.35365682245953944,pathways_plus_regulators,MCF7,16,26697
0.6816004241540589,0.531608983511403,0.5073776857364742,0.1161688003793267,0.18905232698336147,0.7213044438569853,0.4790441333381944,pathways_plus_regulators,T47D,16,52811
0.6980934187361876,0.7253029708227066,0.46565888925402565,0.7846068660022149,0.5844504021447721,0.7973482421837569,0.5426741456658232,full_model,MCF7,17,26697
0.737781901497794,0.6401478386847236,0.6599661447312738,0.36972498814604077,0.4739401306792281,0.8315455356885939,0.6290078303994375,full_model,T47D,17,52811
