group,outcome,cell_cycle_measure,spearman_rho,p_value,n_cells
all,rap_score,S_score,0.6389133386230214,0.0,79508
all,rap_score,G2M_score,0.7515045101858712,0.0,79508
all,rap_score,cell_cycle_activity,0.7955679561362289,0.0,79508
all,transition_probability_oof,S_score,0.3678985143391153,0.0,60416
all,transition_probability_oof,G2M_score,0.3147264427462138,0.0,60416
all,transition_probability_oof,cell_cycle_activity,0.3767323989103426,0.0,60416
all,escape_pseudotime,S_score,0.4121839767826469,0.0,79508
all,escape_pseudotime,G2M_score,0.432487869837435,0.0,79508
all,escape_pseudotime,cell_cycle_activity,0.47765306199719587,0.0,79508
MCF7,rap_score,S_score,0.6546146606155926,0.0,26697
MCF7,rap_score,G2M_score,0.8346260739244048,0.0,26697
MCF7,rap_score,cell_cycle_activity,0.8463922873609109,0.0,26697
MCF7,transition_probability_oof,S_score,0.5065485664995741,0.0,18235
MCF7,transition_probability_oof,G2M_score,0.5572364894675017,0.0,18235
MCF7,transition_probability_oof,cell_cycle_activity,0.5760243143219942,0.0,18235
MCF7,escape_pseudotime,S_score,0.4651332193995965,0.0,26697
MCF7,escape_pseudotime,G2M_score,0.5772490833703028,0.0,26697
MCF7,escape_pseudotime,cell_cycle_activity,0.5809038450216691,0.0,26697
T47D,rap_score,S_score,0.6353550912579066,0.0,52811
T47D,rap_score,G2M_score,0.7468837291782162,0.0,52811
T47D,rap_score,cell_cycle_activity,0.7961976535374969,0.0,52811
T47D,transition_probability_oof,S_score,0.39598631715316146,0.0,42181
T47D,transition_probability_oof,G2M_score,0.42358557318943024,0.0,42181
T47D,transition_probability_oof,cell_cycle_activity,0.4679112936695528,0.0,42181
T47D,escape_pseudotime,S_score,0.4004509950552754,0.0,52811
T47D,escape_pseudotime,G2M_score,0.4128737799670487,0.0,52811
T47D,escape_pseudotime,cell_cycle_activity,0.4698062773483328,0.0,52811
