cell_line,condition,phase,cell_count,mean_s_score,mean_g2m_score,mean_rap_score,mean_transition_probability,median_transition_probability
MCF7,CTR,G1,2150,-0.12265338028295945,-0.1586961886616897,0.009783022786199665,,
MCF7,CTR,G2M,3999,0.06835605609975581,0.5341772357774445,1.0188080077897832,,
MCF7,CTR,S,2313,0.26710024777841124,0.0794761983600868,0.5150219774873644,,
MCF7,TIS,G1,8297,-0.16968545524949355,-0.19353990406462723,-1.1686769833450708,0.20767077103093978,0.03018971905576162
MCF7,TIS,G2M,1334,0.0684746821261736,0.5028080585639995,0.10243484027602431,0.47829077695081007,0.46125989161071174
MCF7,TIS,S,1380,0.2783224772768145,0.007811701885782855,-0.540444857810428,0.27599116377846916,0.0931354683960263
MCF7,REPOP,G1,1912,-0.11711105114157316,-0.1613250443392193,0.008636007326069922,0.9646384190350381,0.9979098367934366
MCF7,REPOP,G2M,3166,0.08080060789951576,0.5513261017257505,1.158331830688278,0.9924853516495058,0.9996494725344851
MCF7,REPOP,S,2146,0.2765598929992781,0.08080129480815161,0.62227193831675,0.9911171475557232,0.999313400714045
T47D,CTR,G1,1877,-0.1182348757032081,-0.10642357406786881,-0.09142393922298873,,
T47D,CTR,G2M,5673,0.13410837933666805,0.7312366712511008,1.1569521861615648,,
T47D,CTR,S,3080,0.3695980739904207,0.16285679720130922,0.45056440655665053,,
T47D,TIS,G1,11068,-0.14958211960658363,-0.10444351790216887,-1.184192634824904,0.015499767347456148,0.00019083679322127444
T47D,TIS,G2M,12222,0.021982862243170215,0.3903804708551239,-0.38419910806757834,0.06187916854912265,0.0016471467784447415
T47D,TIS,S,2019,0.25152081027805856,0.1270775450222332,-0.6108650853942088,0.028289992236643628,0.0004593324657453385
T47D,REPOP,G1,3815,-0.12851005573469376,-0.1015562525292408,-0.09096682209107274,0.590733342579895,0.6737688704559476
T47D,REPOP,G2M,9053,0.107822078635967,0.657056102634026,1.074121094647811,0.8187443147451009,0.9675979222302631
T47D,REPOP,S,4004,0.3316345491104039,0.15927366907573204,0.4693199187108404,0.6154296381451949,0.7297222023918095
