cell_line,condition,sample_id,cell_count,mean_score,median_score,standard_deviation,minimum_score,maximum_score
MCF7,CTR,GSM8595876_MCF7-ctr-1,5484,0.5579532515777806,0.5006854840575305,0.5453609307168561,-0.8771413666790783,2.529147794900793
MCF7,CTR,GSM8595877_MCF7-ctr-2,2978,0.7477088396297507,0.7291466501487538,0.5593852393762401,-0.6196947516722077,2.3617177995046337
MCF7,TIS,GSM8595878_MCF7-tis-1,6315,-0.9641753679305601,-1.0028376131953387,0.6634796268562562,-3.2744083634144365,1.9569745535856111
MCF7,TIS,GSM8595879_MCF7-tis-2,4696,-0.8979794099622527,-0.9624188057947498,0.6531052357523153,-2.785432552481629,1.4972552059932498
MCF7,REPOP,GSM8595880_MCF7-repop-1,4428,0.7640951351186648,0.7765109795407257,0.5690216970733253,-1.7625904445402698,2.5119326134158144
MCF7,REPOP,GSM8595881_MCF7-repop-2,2796,0.5850403945954333,0.36047084185449074,0.694342820190998,-1.0898451696029463,3.176238247197718
T47D,CTR,GSM8595882_T47D-ctr-1,5727,0.7115241677930115,0.6196991094259237,0.7161003391915187,-1.530992052513247,2.832389870711047
T47D,CTR,GSM8595883_T47D-ctr-2,4903,0.7555836184819321,0.7301406839029573,0.710166539753057,-1.063222818670416,2.751981107756641
T47D,TIS,GSM8595884_T47D-tis-1,14659,-0.7435293741771813,-0.8209603646401415,0.6263986223917196,-3.634231366453777,1.4322956787576206
T47D,TIS,GSM8595885_T47D-tis-2,10650,-0.763968553276205,-0.8951815413793478,0.7000332850990623,-3.494175734508196,2.1277926102071816
T47D,REPOP,GSM8595886_T47D-repop-1,9092,0.6374708540405658,0.44234549042445925,0.761633579696463,-1.48375594476497,3.1042510862215233
T47D,REPOP,GSM8595887_T47D-repop-2,7780,0.7018318500193536,0.6396747145145287,0.6815707683100025,-1.981337640780404,2.619027447825053
