feature,cell_lines,mean_difference,minimum_absolute_mean_difference,maximum_adjusted_p_value,direction
rap_score,2,1.0006560620080784,0.9910832664310667,0.0,higher_in_escape_prone
repopulation_associated_potential,2,1.0006560620080784,0.9910832664310667,0.0,higher_in_escape_prone
regulator__JUN,2,-0.31432305363161456,0.29660792990495544,1.5712403469277967e-30,lower_in_escape_prone
pathway__e2f_targets,2,0.2037096686650285,0.19629626337276904,1.5307883033127054e-59,higher_in_escape_prone
pathway__g2_m_checkpoint,2,0.18277002924572522,0.18175152958306878,2.6048307968837316e-39,higher_in_escape_prone
regulator__STAT3,2,-0.22072779651868055,0.15645474400030318,1.7278822816812113e-11,lower_in_escape_prone
pathway__myc_targets_v1,2,0.15306720015458436,0.12717271149498316,1.037995952945126e-123,higher_in_escape_prone
regulator__MYC,2,-0.11305730162747546,0.11073901469675906,0.00042468166397557287,lower_in_escape_prone
regulator__E2F1,2,0.21690966986113977,0.10904092534524795,3.038988266735538e-07,higher_in_escape_prone
pathway__mrna_splicing_major_pathway_r_hsa_72163,2,0.09761604835188394,0.07830201922976412,1.37248875728838e-85,higher_in_escape_prone
pathway__mrna_splicing_r_hsa_72172,2,0.09670590593252182,0.07801597616641814,1.8172032674308237e-86,higher_in_escape_prone
pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,2,0.09407175446488836,0.07710659904119192,6.838453138537545e-98,higher_in_escape_prone
pathway__mitochondrial_translation_termination_r_hsa_5419276,2,0.08526206405031944,0.043349984239549194,6.059472291178335e-23,higher_in_escape_prone
pathway__mitochondrial_translation_initiation_r_hsa_5368286,2,0.0857381778206574,0.043240041922070566,1.306313039469253e-22,higher_in_escape_prone
pathway__mitochondrial_translation_r_hsa_5368287,2,0.08513054786373475,0.042501803627234394,2.246118699397817e-22,higher_in_escape_prone
pathway__mitochondrial_translation_elongation_r_hsa_5389840,2,0.08535969608084924,0.042283425159028526,1.5068603773357697e-21,higher_in_escape_prone
