gene,cell_lines,mean_log_fold_change,minimum_absolute_log_fold_change,maximum_adjusted_p_value,direction
TOP2A,2,0.6964951753616333,0.5068516731262207,0.0,higher_in_escape_prone
MKI67,2,0.5305404514074326,0.48629769682884216,0.0,higher_in_escape_prone
TUBA1B,2,0.5279414057731628,0.45155251026153564,0.0,higher_in_escape_prone
SAT1,2,-0.46227362751960754,0.448039174079895,0.0,lower_in_escape_prone
TPX2,2,0.4894011616706848,0.4399770498275757,0.0,higher_in_escape_prone
CENPF,2,0.5700350850820541,0.41080591082572937,0.0,higher_in_escape_prone
PTTG1,2,0.4509165585041046,0.3937336802482605,0.0,higher_in_escape_prone
SOX4,2,-0.45774418115615845,0.38842177391052246,0.0,lower_in_escape_prone
H2AZ1,2,0.45258307456970215,0.38336849212646484,0.0,higher_in_escape_prone
PCLAF,2,0.3864007443189621,0.3828844726085663,0.0,higher_in_escape_prone
SMC4,2,0.4184405505657196,0.37250155210494995,0.0,higher_in_escape_prone
BCAS1,2,-0.5580182820558548,0.3594153821468353,0.0,lower_in_escape_prone
CCNB1,2,0.41797249019145966,0.35882094502449036,0.0,higher_in_escape_prone
NEAT1,2,-0.3749953508377075,0.336688756942749,0.0,lower_in_escape_prone
HMGB1,2,0.3374967575073242,0.32415831089019775,0.0,higher_in_escape_prone
BIRC5,2,0.38134661316871643,0.3239291310310364,0.0,higher_in_escape_prone
TACSTD2,2,-0.476790189743042,0.32379698753356934,0.0,lower_in_escape_prone
INHBB,2,-0.36182543635368347,0.3223511576652527,0.0,lower_in_escape_prone
DLGAP5,2,0.3440190255641937,0.3149402141571045,0.0,higher_in_escape_prone
CLDN1,2,-0.32903118431568146,0.30821359157562256,0.0,lower_in_escape_prone
HNRNPA2B1,2,0.32894325256347656,0.3081669807434082,0.0,higher_in_escape_prone
CBX5,2,0.3221959173679352,0.30780327320098877,0.0,higher_in_escape_prone
ASPM,2,0.34469708800315857,0.30745771527290344,0.0,higher_in_escape_prone
HMMR,2,0.3768118619918823,0.30692365765571594,0.0,higher_in_escape_prone
PRR11,2,0.3241676837205887,0.3062405288219452,0.0,higher_in_escape_prone
ANP32E,2,0.34273533523082733,0.29821282625198364,0.0,higher_in_escape_prone
VMP1,2,-0.3970438838005066,0.28191864490509033,0.0,lower_in_escape_prone
ELF3,2,-0.3280540108680725,0.2676490545272827,0.0,lower_in_escape_prone
TNFRSF12A,2,-0.3371031582355499,0.26196879148483276,0.0,lower_in_escape_prone
CD24,2,-0.430439293384552,0.26085638999938965,0.0,lower_in_escape_prone
UBE2S,2,0.3037084639072418,0.2577933967113495,0.0,higher_in_escape_prone
TUBA1A,2,-0.344764769077301,0.2564072012901306,0.0,lower_in_escape_prone
CENPE,2,0.2881093919277191,0.2515808939933777,0.0,higher_in_escape_prone
CLDN4,2,-0.41623324155807495,0.2504624128341675,0.0,lower_in_escape_prone
