cell_line,feature,escape_prone_cells,stable_tis_cells,escape_prone_mean,stable_tis_mean,mean_difference,absolute_mean_difference,mann_whitney_statistic,p_value,direction,adjusted_p_value
MCF7,repopulation_associated_potential,1102,9909,-0.026820543806517765,-1.0370494013916078,1.0102288575850902,1.0102288575850902,9969682.0,0.0,higher_in_escape_prone,0.0
MCF7,rap_score,1102,9909,-0.026820543806517758,-1.0370494013916078,1.0102288575850902,1.0102288575850902,9969682.0,0.0,higher_in_escape_prone,0.0
T47D,repopulation_associated_potential,2531,22778,0.13984086508008822,-0.8512424013509785,0.9910832664310667,0.9910832664310667,51323331.0,0.0,higher_in_escape_prone,0.0
T47D,rap_score,2531,22778,0.13984086508008825,-0.8512424013509785,0.9910832664310667,0.9910832664310667,51323331.0,0.0,higher_in_escape_prone,0.0
T47D,pathway__e2f_targets,2531,22778,-0.006495655612605114,-0.21761872956989303,0.2111230739572879,0.2111230739572879,39182261.0,7.590230836796101e-194,higher_in_escape_prone,4.554138502077662e-193
T47D,pathway__myc_targets_v1,2531,22778,-0.15006101930019122,-0.2772337307951744,0.12717271149498316,0.12717271149498316,37795839.0,6.222460481249396e-146,higher_in_escape_prone,2.8001072165622285e-145
T47D,pathway__g2_m_checkpoint,2531,22778,-0.015866179755370368,-0.199654708663752,0.18378852890838165,0.18378852890838165,37355853.0,3.685518810896929e-132,higher_in_escape_prone,1.3267867719228946e-131
MCF7,pathway__myc_targets_v1,1102,9909,0.158426186484112,-0.020535502330073535,0.17896168881418553,0.17896168881418553,7835401.0,1.7299932549085433e-124,higher_in_escape_prone,1.037995952945126e-123
MCF7,pathway__mitochondrial_translation_initiation_r_hsa_5368286,1102,9909,0.004452782655062589,-0.12378353106418165,0.12823631371924424,0.12823631371924424,7642814.0,1.989871805143774e-105,higher_in_escape_prone,7.163538498517586e-105
MCF7,pathway__mrna_splicing_r_hsa_72172,1102,9909,0.018790214404304936,-0.09660562129432056,0.11539583569862549,0.11539583569862549,7642995.0,1.9127767967329536e-105,higher_in_escape_prone,7.163538498517586e-105
MCF7,pathway__mitochondrial_translation_r_hsa_5368287,1102,9909,0.007524837050019767,-0.12023445505021535,0.12775929210023512,0.12775929210023512,7640655.0,3.1872266451824646e-105,higher_in_escape_prone,9.561679935547395e-105
MCF7,pathway__mitochondrial_translation_elongation_r_hsa_5389840,1102,9909,0.0051879690781922744,-0.12324799792447767,0.12843596700266996,0.12843596700266996,7632836.0,1.748468931353016e-104,higher_in_escape_prone,4.496062966336327e-104
