cell_line,gene,escape_prone_mean,stable_tis_mean,log_fold_change,absolute_log_fold_change,mann_whitney_statistic,p_value,adjusted_p_value,direction
MCF7,BCAS1,0.8650888800621033,1.6217100620269775,-0.7566211819648743,0.7566211819648743,3069692.5,0.0,0.0,lower_in_escape_prone
MCF7,KRT80,0.7716127038002014,1.4533591270446777,-0.6817464232444763,0.6817464232444763,2546866.5,0.0,0.0,lower_in_escape_prone
MCF7,GPRC5A,0.41286036372184753,1.071724534034729,-0.6588641405105591,0.6588641405105591,2737125.5,0.0,0.0,lower_in_escape_prone
MCF7,SYTL2,1.5296236276626587,2.1882734298706055,-0.6586498022079468,0.6586498022079468,2885428.5,0.0,0.0,lower_in_escape_prone
MCF7,MYO1B,0.7707940936088562,1.415637731552124,-0.6448436379432678,0.6448436379432678,2717339.5,0.0,0.0,lower_in_escape_prone
MCF7,TACSTD2,1.5631396770477295,2.192923069000244,-0.6297833919525146,0.6297833919525146,2835306.0,0.0,0.0,lower_in_escape_prone
MCF7,CD24,1.1100915670394897,1.710113763809204,-0.6000221967697144,0.6000221967697144,3012013.5,0.0,0.0,lower_in_escape_prone
MCF7,ZFP36L2,0.5925030708312988,1.1824474334716797,-0.5899443626403809,0.5899443626403809,3155012.5,0.0,0.0,lower_in_escape_prone
MCF7,ZNF217,1.541142463684082,2.1247377395629883,-0.5835952758789062,0.5835952758789062,3106789.5,0.0,0.0,lower_in_escape_prone
MCF7,BMP7,1.0654079914093018,1.6489934921264648,-0.5835855007171631,0.5835855007171631,3491779.0,0.0,0.0,lower_in_escape_prone
MCF7,CLDN4,2.1454856395721436,2.727489709854126,-0.5820040702819824,0.5820040702819824,2836739.0,0.0,0.0,lower_in_escape_prone
MCF7,MKI67,0.9154386520385742,0.34065544605255127,0.574783205986023,0.574783205986023,7027978.5,0.0,0.0,higher_in_escape_prone
MCF7,SPTSSB,1.1626595258712769,1.7204173803329468,-0.5577578544616699,0.5577578544616699,3670521.0,0.0,0.0,lower_in_escape_prone
MCF7,ITGB6,0.1738322675228119,0.7061823010444641,-0.5323500633239746,0.5323500633239746,3227523.5,0.0,0.0,lower_in_escape_prone
MCF7,SOX4,1.5689209699630737,2.095987558364868,-0.5270665884017944,0.5270665884017944,3320616.5,0.0,0.0,lower_in_escape_prone
MCF7,H2AZ1,1.7001662254333496,1.1783685684204102,0.5217976570129395,0.5217976570129395,7183733.0,0.0,0.0,higher_in_escape_prone
MCF7,S100A10,2.1345291137695312,2.653761625289917,-0.5192325115203857,0.5192325115203857,2773040.5,0.0,0.0,lower_in_escape_prone
MCF7,KLF6,0.7793152928352356,1.2959991693496704,-0.5166838765144348,0.5166838765144348,3468826.0,0.0,0.0,lower_in_escape_prone
MCF7,SLC39A6,2.512436628341675,1.9977374076843262,0.5146992206573486,0.5146992206573486,7396474.5,0.0,0.0,higher_in_escape_prone
MCF7,FLNA,1.4179068803787231,1.9301146268844604,-0.5122077465057373,0.5122077465057373,3155317.0,0.0,0.0,lower_in_escape_prone
MCF7,VMP1,2.009650230407715,2.5218193531036377,-0.5121691226959229,0.5121691226959229,3243970.5,0.0,0.0,lower_in_escape_prone
MCF7,TOP2A,0.9023925065994263,0.39554086327552795,0.5068516731262207,0.5068516731262207,6688404.0,0.0,0.0,higher_in_escape_prone
MCF7,ANXA2,2.1016898155212402,2.606694221496582,-0.5050044059753418,0.5050044059753418,2768053.0,0.0,0.0,lower_in_escape_prone
MCF7,PMEPA1,0.49073678255081177,0.9945253729820251,-0.5037885904312134,0.5037885904312134,3144085.5,0.0,0.0,lower_in_escape_prone
