perturbation_rank,model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength,confidence_score,intervention_score,predicted_effect,rap_effect_fraction
1,rap_plus_pathways,HMGB2,inhibit,1.0,differential_expression_effect,0.7573902312818401,3.0,1,E2F Targets,0.40940627470332364,0.3292886560830856,-0.08011761862023804,0.08011761862023804,0.084164482388362,0.15745372267209717,79508,1.0,0.25,0.57869511564092,0.04636367457231378,predicted_suppression,0.1
2,rap_plus_pathways,RRM2,inhibit,1.0,differential_expression_effect,0.6884224623231245,2.0,1,E2F Targets,0.40940627470332364,0.3292886560830856,-0.08011761862023804,0.08011761862023804,0.084164482388362,0.15745372267209717,79508,1.0,0.25,0.5108778978282289,0.04093032057971098,predicted_suppression,0.1
3,rap_plus_pathways,GINS1,inhibit,1.0,differential_expression_effect,0.6352045905748,2.0,1,E2F Targets,0.40940627470332364,0.3292886560830856,-0.08011761862023804,0.08011761862023804,0.084164482388362,0.15745372267209717,79508,1.0,0.25,0.48426896195406666,0.03879847600345448,predicted_suppression,0.1
4,rap_plus_pathways,MELK,inhibit,1.0,differential_expression_effect,0.5980906638233262,2.0,1,E2F Targets,0.40940627470332364,0.3292886560830856,-0.08011761862023804,0.08011761862023804,0.084164482388362,0.15745372267209717,79508,1.0,0.25,0.46571199857832973,0.037311736288967466,predicted_suppression,0.1
5,rap_plus_pathways,KRT80,activate,-1.0,differential_expression_effect,0.6995790414627282,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.38876228818023645,-0.020643986523087146,0.020643986523087146,0.020956750461475604,0.04120457794181781,79508,1.0,0.25,0.5164561873980308,0.010661714572409917,predicted_suppression,0.1
6,rap_plus_pathways,IVL,activate,-1.0,differential_expression_effect,0.6192567491510668,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.38876228818023645,-0.020643986523087146,0.020643986523087146,0.020956750461475604,0.04120457794181781,79508,1.0,0.25,0.4762950412422,0.009832628412417213,predicted_suppression,0.1
7,rap_plus_pathways,CLU,activate,-1.0,differential_expression_effect,0.7603539739481504,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.44684365364074186,0.004936577940315059,predicted_suppression,0.1
8,rap_plus_pathways,BCAS1,activate,-1.0,differential_expression_effect,0.6837812817613224,3.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4418906408806612,0.0048818587262671595,predicted_suppression,0.1
9,rap_plus_pathways,MYO1B,activate,-1.0,differential_expression_effect,0.7054155897786791,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4193744615560062,0.004633107573042467,predicted_suppression,0.1
10,rap_plus_pathways,H4C3,inhibit,1.0,differential_expression_effect,0.705187779578552,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4192605564559427,0.004631849187923462,predicted_suppression,0.1
11,rap_plus_pathways,PHGDH,inhibit,1.0,differential_expression_effect,0.7003715177248218,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.41685242552907753,0.004605244969839366,predicted_suppression,0.1
12,rap_plus_pathways,SDC2,activate,-1.0,differential_expression_effect,0.6971779366564773,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4152556349949053,0.004587604166703698,predicted_suppression,0.1
13,rap_plus_pathways,DHTKD1,inhibit,1.0,differential_expression_effect,0.6908306961041671,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4120820147187502,0.004552543080530592,predicted_suppression,0.1
14,rap_plus_pathways,NUDT3,inhibit,1.0,differential_expression_effect,0.6882075072090454,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4107704202711894,0.004538053027547375,predicted_suppression,0.1
15,rap_plus_pathways,ZWINT,inhibit,1.0,differential_expression_effect,0.6869889853380513,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4101611593356923,0.004531322118269454,predicted_suppression,0.1
16,rap_plus_pathways,YBX2,inhibit,1.0,differential_expression_effect,0.6835576591719393,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.4084454962526363,0.004512368051316012,predicted_suppression,0.1
17,rap_plus_pathways,ARHGAP11A,inhibit,1.0,differential_expression_effect,0.6796115438135014,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.40647243857341736,0.004490570375697612,predicted_suppression,0.1
18,rap_plus_pathways,NUF2,inhibit,1.0,differential_expression_effect,0.6675860052084984,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.40045966927091586,0.004424143328883612,predicted_suppression,0.1
19,rap_plus_pathways,FBXO17,inhibit,1.0,differential_expression_effect,0.6531246883732527,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.393229010853293,0.004344261453987188,predicted_suppression,0.1
20,rap_plus_pathways,NCF2,activate,-1.0,differential_expression_effect,0.6524182021795357,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3928757677564345,0.0043403589434215534,predicted_suppression,0.1
21,rap_plus_pathways,KIF14,inhibit,1.0,differential_expression_effect,0.6503130591297537,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3918231962315435,0.004328730488305218,predicted_suppression,0.1
22,rap_plus_pathways,ENC1,activate,-1.0,differential_expression_effect,0.6496829350893555,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3915081342113444,0.004325249789393924,predicted_suppression,0.1
23,rap_plus_pathways,H4C8,activate,-1.0,differential_expression_effect,0.6461169056612761,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3897251194973047,0.004305551644342809,predicted_suppression,0.1
24,rap_plus_pathways,NCAPH,inhibit,1.0,differential_expression_effect,0.6304158464734002,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.38187458990336676,0.004218821641807329,predicted_suppression,0.1
25,rap_plus_pathways,RND1,activate,-1.0,differential_expression_effect,0.625772321910648,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.37955282762199066,0.004193171595381668,predicted_suppression,0.1
26,rap_plus_pathways,KIF20A,inhibit,1.0,differential_expression_effect,0.6085210341331331,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3709271837332332,0.004097878391605995,predicted_suppression,0.1
27,rap_plus_pathways,SYTL2,activate,-1.0,differential_expression_effect,0.607813155021956,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.37057324417764465,0.004093968186799264,predicted_suppression,0.1
28,rap_plus_pathways,GPRC5A,activate,-1.0,differential_expression_effect,0.6065401780514027,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.369936755692368,0.004086936476736739,predicted_suppression,0.1
29,rap_plus_pathways,ANXA1,activate,-1.0,differential_expression_effect,0.6065387251303759,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3699360292318546,0.004086928451046062,predicted_suppression,0.1
30,rap_plus_pathways,GAS2L3,inhibit,1.0,differential_expression_effect,0.6053413605080713,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3693373469207023,0.0040803144108411465,predicted_suppression,0.1
31,rap_plus_pathways,MACC1,activate,-1.0,differential_expression_effect,0.5963635313460357,2.0,0,,0.40940627470332364,0.39835861205869755,-0.011047662644626081,0.011047662644626081,0.011151424343233393,0.02211129146205909,79508,1.0,0.25,0.3648484323396845,0.004030722396909519,predicted_suppression,0.1
32,rap_plus_pathways,IFI6,activate,-1.0,differential_expression_effect,0.8147518270098308,3.0,1,Interferon Alpha/Beta Signaling R-HSA-909733,0.40940627470332364,0.4438603561732891,0.034454081469965536,-0.034454081469965536,-0.034044160300573986,-3.7797456256277215e-10,0,0.0,0.25,0.6073759135049154,-0.020926579206793094,predicted_worsening,0.1
33,rap_plus_pathways,ISG15,activate,-1.0,differential_expression_effect,0.6665757308663266,2.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.4722366476474381,0.06283037294411453,-0.06283037294411453,-0.061306569237273345,-7.915803424378625e-10,0,0.0,0.25,0.6999545320998299,-0.0439784042957555,predicted_worsening,0.1
