perturbation_strength,rap_effect_fraction,top_k,top_k_overlap_with_reference,top_target,top_target_effect
0.25,0.1,10,1.0,HMGB2,0.08011761862023804
0.25,0.25,10,1.0,HMGB2,0.09684451603544363
0.25,0.5,10,1.0,HMGB2,0.12440956847460082
0.5,0.1,10,1.0,HMGB2,0.15852979940293244
0.5,0.25,10,1.0,HMGB2,0.18931510061108514
0.5,0.5,10,1.0,HMGB2,0.23650265018683533
0.75,0.1,10,1.0,HMGB2,0.2291628939093251
0.75,0.25,10,1.0,HMGB2,0.2672567065743722
0.75,0.5,10,1.0,HMGB2,0.3183127566656919
1.0,0.1,10,1.0,HMGB2,0.287315282628493
1.0,0.25,10,1.0,HMGB2,0.3249167740860317
1.0,0.5,10,1.0,HMGB2,0.36697789252559665
1.25,0.1,10,1.0,HMGB2,0.33114777744690066
1.25,0.25,10,1.0,HMGB2,0.3627147913844552
1.25,0.5,10,1.0,HMGB2,0.39140882345329453
1.5,0.1,10,1.0,HMGB2,0.3616268450299726
1.5,0.25,10,1.0,HMGB2,0.3850737706731857
1.5,0.5,10,1.0,HMGB2,0.40223307916466283
