cell_line,condition,sample_id,cells_before,cells_after,cells_removed,retention_pct,failed_min_genes,failed_min_counts,failed_max_counts,failed_mito
MCF7,CTR,GSM8595876_MCF7-ctr-1,5784,5484,300,94.81327800829875,0,0,297,3
MCF7,CTR,GSM8595877_MCF7-ctr-2,3434,2978,456,86.72102504368084,0,0,456,0
MCF7,REPOP,GSM8595880_MCF7-repop-1,4999,4428,571,88.57771554310862,0,0,552,20
MCF7,REPOP,GSM8595881_MCF7-repop-2,3275,2796,479,85.37404580152672,0,0,477,2
MCF7,TIS,GSM8595878_MCF7-tis-1,6559,6315,244,96.2799207196219,0,0,238,6
MCF7,TIS,GSM8595879_MCF7-tis-2,4999,4696,303,93.93878775755151,0,1,293,9
T47D,CTR,GSM8595882_T47D-ctr-1,6002,5727,275,95.41819393535488,0,0,270,5
T47D,CTR,GSM8595883_T47D-ctr-2,5167,4903,264,94.89065221598607,0,0,252,12
T47D,REPOP,GSM8595886_T47D-repop-1,9329,9092,237,97.45953478400686,0,0,183,55
T47D,REPOP,GSM8595887_T47D-repop-2,8057,7780,277,96.56199578006702,0,0,264,13
T47D,TIS,GSM8595884_T47D-tis-1,14999,14659,340,97.73318221214747,0,0,272,68
T47D,TIS,GSM8595885_T47D-tis-2,10937,10650,287,97.37588004023041,1,1,176,111
