cell_line,transcription_factor,rap_correlation,absolute_rap_correlation,rap_p_value,cell_count
MCF7,FOS,-0.21541011781367136,0.21541011781367136,8.645872113167246e-278,26697
MCF7,STAT3,-0.18957725493722685,0.18957725493722685,1.7469643263435464e-214,26697
MCF7,JUN,-0.14842923420094767,0.14842923420094767,2.3943865024845297e-131,26697
MCF7,E2F1,0.10717202735015056,0.10717202735015056,4.913808464157282e-69,26697
MCF7,TP53,0.07679319337103808,0.07679319337103808,3.273158540111246e-36,26697
MCF7,MYC,-0.06377957498787032,0.06377957498787032,1.7858850370736366e-25,26697
T47D,E2F1,0.15120628010941786,0.15120628010941786,1.366427421224547e-267,52811
T47D,JUN,-0.11324773100077126,0.11324773100077126,2.921805350050333e-150,52811
T47D,MYC,-0.10005763965154964,0.10005763965154964,1.4303785612644035e-117,52811
T47D,TP53,0.08129648037903732,0.08129648037903732,3.879734113531949e-78,52811
T47D,STAT3,-0.07757793568134795,0.07757793568134795,2.6714533638927036e-71,52811
T47D,FOS,-0.05080527268766491,0.05080527268766491,1.5634967530177527e-31,52811
