cell_line,transcription_factor,target_gene,target_direction,tf_target_correlation,absolute_tf_target_correlation,tf_target_p_value,rap_correlation,rap_consistent
MCF7,FOS,PHGDH,up,-0.102261203143555,0.102261203143555,5.491399564211928e-63,-0.21541011781367136,True
MCF7,FOS,HMGB2,up,-0.1521144545523427,0.1521144545523427,6.308476808548992e-138,-0.21541011781367136,True
MCF7,FOS,ASPM,up,-0.16508935526991658,0.16508935526991658,1.9506506263980983e-162,-0.21541011781367136,True
MCF7,FOS,PTTG1,up,-0.1397492676997602,0.1397492676997602,1.6324877252046398e-116,-0.21541011781367136,True
MCF7,FOS,BCL2,up,0.11086674271221639,0.11086674271221639,8.928874260363804e-74,-0.21541011781367136,False
MCF7,FOS,AURKB,up,-0.12524572708427642,0.12524572708427642,8.681617904027402e-94,-0.21541011781367136,True
MCF7,FOS,ARHGAP11A,up,-0.13890061366207393,0.13890061366207393,4.106013744213998e-115,-0.21541011781367136,True
MCF7,FOS,PRC1,up,-0.13221620981359944,0.13221620981359944,2.1712673510977682e-104,-0.21541011781367136,True
MCF7,FOS,MKI67,up,-0.19856789754156912,0.19856789754156912,1.5895115877345723e-235,-0.21541011781367136,True
MCF7,FOS,TOP2A,up,-0.15518875936913018,0.15518875936913018,1.521915087458265e-143,-0.21541011781367136,True
MCF7,FOS,PRR11,up,-0.13284061905014102,0.13284061905014102,2.281076243121157e-105,-0.21541011781367136,True
MCF7,FOS,NCAPH,up,-0.10172462580425358,0.10172462580425358,2.4160131330933355e-62,-0.21541011781367136,True
MCF7,FOS,NUF2,up,-0.11524666010770349,0.11524666010770349,1.314789019787739e-79,-0.21541011781367136,True
MCF7,FOS,CCNA2,up,-0.13645432642481162,0.13645432642481162,3.992351215049388e-111,-0.21541011781367136,True
MCF7,FOS,KIF14,up,-0.1658323854072937,0.1658323854072937,6.6493990975375635e-164,-0.21541011781367136,True
MCF7,FOS,PLK1,up,-0.16119323525992613,0.16119323525992613,7.431489292405399e-155,-0.21541011781367136,True
MCF7,FOS,CENPF,up,-0.17665525181360867,0.17665525181360867,4.558186422092782e-186,-0.21541011781367136,True
MCF7,FOS,PBK,up,-0.10942350589526086,0.10942350589526086,6.638228593212438e-72,-0.21541011781367136,True
MCF7,FOS,KNL1,up,-0.12112954309735777,0.12112954309735777,8.361476109822981e-88,-0.21541011781367136,True
MCF7,FOS,TROAP,up,-0.11171294287256889,0.11171294287256889,6.950604091470483e-75,-0.21541011781367136,True
MCF7,FOS,LMNB1,up,-0.13099352828248265,0.13099352828248265,1.7343231950963615e-102,-0.21541011781367136,True
MCF7,FOS,KIF11,up,-0.10757422871357067,0.10757422871357067,1.5250713363225147e-69,-0.21541011781367136,True
MCF7,FOS,BIRC5,up,-0.16918675261023977,0.16918675261023977,1.2935238967800267e-170,-0.21541011781367136,True
MCF7,FOS,CKS1B,up,-0.14148769285306417,0.14148769285306417,2.0713087899615743e-119,-0.21541011781367136,True
MCF7,FOS,HMMR,up,-0.1325895621875667,0.1325895621875667,5.6515497079365484e-105,-0.21541011781367136,True
MCF7,FOS,KIF20A,up,-0.15255572238194637,0.15255572238194637,1.0019240273177554e-138,-0.21541011781367136,True
MCF7,FOS,GAS2L3,up,-0.13859813554995293,0.13859813554995293,1.289666987855555e-114,-0.21541011781367136,True
MCF7,FOS,CDC20,up,-0.15193937227401538,0.15193937227401538,1.3071047532798818e-137,-0.21541011781367136,True
MCF7,FOS,FOXM1,up,-0.10927470963520147,0.10927470963520147,1.0317085444958898e-71,-0.21541011781367136,True
MCF7,FOS,UBE2C,up,-0.11426116185405082,0.11426116185405082,2.82596104610931e-78,-0.21541011781367136,True
MCF7,FOS,SYTL2,down,0.13783235382275602,0.13783235382275602,2.3113157747286467e-113,-0.21541011781367136,True
MCF7,FOS,BCAS1,down,0.11388771385070649,0.11388771385070649,8.97396673761613e-78,-0.21541011781367136,True
MCF7,FOS,GPRC5A,down,0.10706759822934395,0.10706759822934395,6.653253356971563e-69,-0.21541011781367136,True
MCF7,FOS,RND1,down,0.12937981004293203,0.12937981004293203,5.273480727393595e-100,-0.21541011781367136,True
MCF7,STAT3,HMGB2,up,-0.13262500594555657,0.13262500594555657,4.972628750257569e-105,-0.18957725493722685,True
MCF7,STAT3,MKI67,up,-0.1416384180682803,0.1416384180682803,1.1570541635746683e-119,-0.18957725493722685,True
MCF7,STAT3,TOP2A,up,-0.12627050674358983,0.12627050674358983,2.6119505358125574e-95,-0.18957725493722685,True
MCF7,STAT3,CENPF,up,-0.10030479016111273,0.10030479016111273,1.172440134751921e-60,-0.18957725493722685,True
MCF7,STAT3,ANP32E,up,-0.10985872480194792,0.10985872480194792,1.8213386370893283e-72,-0.18957725493722685,True
MCF7,STAT3,BIRC5,up,-0.10139053209335304,0.10139053209335304,6.053150358156378e-62,-0.18957725493722685,True
MCF7,STAT3,CKS1B,up,-0.11482717462061552,0.11482717462061552,4.868475616098791e-79,-0.18957725493722685,True
MCF7,STAT3,PCLAF,up,-0.12477774593272051,0.12477774593272051,4.258360243697567e-93,-0.18957725493722685,True
MCF7,STAT3,BCAS1,down,0.12530472558117253,0.12530472558117253,7.101380900145892e-94,-0.18957725493722685,True
MCF7,JUN,PHGDH,up,-0.10746261898024086,0.10746261898024086,2.1110002732430045e-69,-0.14842923420094767,True
MCF7,JUN,ASPM,up,-0.10910443972060478,0.10910443972060478,1.7075505401681571e-71,-0.14842923420094767,True
MCF7,JUN,PTTG1,up,-0.12689932025652684,0.12689932025652684,2.998937031832165e-96,-0.14842923420094767,True
MCF7,JUN,ARHGAP11A,up,-0.10773691344860899,0.10773691344860899,9.488765919436203e-70,-0.14842923420094767,True
MCF7,JUN,MKI67,up,-0.1612704372300155,0.1612704372300155,5.2809002147747306e-155,-0.14842923420094767,True
MCF7,JUN,TOP2A,up,-0.10809587729703521,0.10809587729703521,3.3217939149010536e-70,-0.14842923420094767,True
MCF7,JUN,PRR11,up,-0.11896208375795317,0.11896208375795317,9.78941940069623e-85,-0.14842923420094767,True
MCF7,JUN,KIF14,up,-0.12487277268225644,0.12487277268225644,3.084734156403323e-93,-0.14842923420094767,True
MCF7,JUN,PLK1,up,-0.12224845643273831,0.12224845643273831,2.0702305149603955e-89,-0.14842923420094767,True
MCF7,JUN,CENPF,up,-0.1445790780578132,0.1445790780578132,1.1844118798774005e-124,-0.14842923420094767,True
MCF7,JUN,ANP32E,up,-0.1313770279078225,0.1313770279078225,4.4095026336538233e-103,-0.14842923420094767,True
MCF7,JUN,BIRC5,up,-0.14634164228896565,0.14634164228896565,1.0755446252771613e-127,-0.14842923420094767,True
MCF7,JUN,CKS1B,up,-0.10393410344296558,0.10393410344296558,5.148108507014381e-65,-0.14842923420094767,True
MCF7,JUN,HMMR,up,-0.10279966747929198,0.10279966747929198,1.231836709564632e-63,-0.14842923420094767,True
MCF7,JUN,KIF20A,up,-0.11595762985948725,0.11595762985948725,1.4139321587094663e-80,-0.14842923420094767,True
MCF7,JUN,GAS2L3,up,-0.10322490813408751,0.10322490813408751,3.7624681914689864e-64,-0.14842923420094767,True
MCF7,JUN,CDC20,up,-0.12270160864615083,0.12270160864615083,4.5833634138911475e-90,-0.14842923420094767,True
MCF7,JUN,SYTL2,down,0.16331712724933245,0.16331712724933245,5.782479736116698e-159,-0.14842923420094767,True
MCF7,JUN,TM4SF1,down,0.10007253887734995,0.10007253887734995,2.200866530526792e-60,-0.14842923420094767,True
MCF7,E2F1,NCMAP,up,0.366116587281726,0.366116587281726,0.0,0.10717202735015056,True
MCF7,E2F1,H4C3,up,0.17043566917246084,0.17043566917246084,3.774281225212977e-173,0.10717202735015056,True
MCF7,E2F1,PHGDH,up,0.12113564455302275,0.12113564455302275,8.195302922557083e-88,0.10717202735015056,True
MCF7,E2F1,S1PR5,up,0.28131901397868647,0.28131901397868647,0.0,0.10717202735015056,True
MCF7,E2F1,H1-5,up,0.3888085918699377,0.3888085918699377,0.0,0.10717202735015056,True
MCF7,E2F1,MIR924HG,up,0.3786571551413915,0.3786571551413915,0.0,0.10717202735015056,True
MCF7,E2F1,NXPH3,up,0.27087397046555134,0.27087397046555134,0.0,0.10717202735015056,True
MCF7,E2F1,HMGB2,up,0.10330734334840297,0.10330734334840297,2.9879414436045798e-64,0.10717202735015056,True
MCF7,E2F1,SOWAHA,up,0.3182982256522656,0.3182982256522656,0.0,0.10717202735015056,True
MCF7,E2F1,CPT1C,up,0.24582153515744345,0.24582153515744345,0.0,0.10717202735015056,True
MCF7,E2F1,TNFAIP8L1,up,0.21254558405468216,0.21254558405468216,2.453599065346464e-270,0.10717202735015056,True
MCF7,E2F1,ITGA2B,up,0.34484220524127696,0.34484220524127696,0.0,0.10717202735015056,True
MCF7,E2F1,SMARCA1,up,0.24217904322169384,0.24217904322169384,0.0,0.10717202735015056,True
MCF7,E2F1,ZNF710-AS1,up,0.34912636755655996,0.34912636755655996,0.0,0.10717202735015056,True
MCF7,E2F1,SEMA6B,up,0.32387623321230924,0.32387623321230924,0.0,0.10717202735015056,True
MCF7,E2F1,MAP2K6,up,0.3510941775621541,0.3510941775621541,0.0,0.10717202735015056,True
MCF7,E2F1,NRM,up,0.2858134667085234,0.2858134667085234,0.0,0.10717202735015056,True
MCF7,E2F1,PIF1,up,0.15490894912229397,0.15490894912229397,4.995008309548563e-143,0.10717202735015056,True
MCF7,E2F1,DEPDC1B,up,0.28266655013889874,0.28266655013889874,0.0,0.10717202735015056,True
MCF7,E2F1,CCDC88A,up,0.2580562856182706,0.2580562856182706,0.0,0.10717202735015056,True
MCF7,E2F1,FBXO17,up,0.11812069714213978,0.11812069714213978,1.467670794607572e-83,0.10717202735015056,True
MCF7,E2F1,SLFN11,up,0.3652700979908694,0.3652700979908694,0.0,0.10717202735015056,True
MCF7,E2F1,YBX2,up,0.11266957511937549,0.11266957511937549,3.786161401089607e-76,0.10717202735015056,True
MCF7,E2F1,CRABP1,up,0.20817213457007824,0.20817213457007824,3.619486645178077e-259,0.10717202735015056,True
MCF7,E2F1,PDE4A,up,0.3219640182703368,0.3219640182703368,0.0,0.10717202735015056,True
MCF7,E2F1,NUSAP1,up,0.2668892512272592,0.2668892512272592,0.0,0.10717202735015056,True
MCF7,E2F1,ECHDC3,up,0.34696467918437807,0.34696467918437807,0.0,0.10717202735015056,True
MCF7,E2F1,AURKB,up,0.1603522075376996,0.1603522075376996,3.0376789099930697e-153,0.10717202735015056,True
MCF7,E2F1,RIPPLY3,up,0.27239855172699506,0.27239855172699506,0.0,0.10717202735015056,True
MCF7,E2F1,ARHGAP11A,up,0.11115497336461977,0.11115497336461977,3.750537883382912e-74,0.10717202735015056,True
MCF7,E2F1,TNFRSF18,up,0.3734164845854556,0.3734164845854556,0.0,0.10717202735015056,True
MCF7,E2F1,H1-3,up,0.3031852342904774,0.3031852342904774,0.0,0.10717202735015056,True
MCF7,E2F1,PRC1,up,0.11610126442759074,0.11610126442759074,8.995844022086026e-81,0.10717202735015056,True
MCF7,E2F1,SYCE2,up,0.3207546794709016,0.3207546794709016,0.0,0.10717202735015056,True
MCF7,E2F1,TOP2A,up,0.11430719491711193,0.11430719491711193,2.450154415958393e-78,0.10717202735015056,True
MCF7,E2F1,SKP2,up,0.3675332468079572,0.3675332468079572,0.0,0.10717202735015056,True
MCF7,E2F1,CDC25C,up,0.2565309739384766,0.2565309739384766,0.0,0.10717202735015056,True
MCF7,E2F1,KIF15,up,0.26031539254127956,0.26031539254127956,0.0,0.10717202735015056,True
MCF7,E2F1,NCAPH,up,0.23985531144609737,0.23985531144609737,0.0,0.10717202735015056,True
MCF7,E2F1,DHTKD1,up,0.10930545358313327,0.10930545358313327,9.419123168709057e-72,0.10717202735015056,True
MCF7,E2F1,NUF2,up,0.15147710678990167,0.15147710678990167,8.908988894814423e-137,0.10717202735015056,True
MCF7,E2F1,CCNA2,up,0.17780621017853682,0.17780621017853682,1.6382673699979966e-188,0.10717202735015056,True
MCF7,E2F1,ESPL1,up,0.2124216723130245,0.2124216723130245,5.125513109900339e-270,0.10717202735015056,True
MCF7,E2F1,MT2A,up,0.21379381851844817,0.21379381851844817,1.430694278229444e-273,0.10717202735015056,True
MCF7,E2F1,PLOD2,up,0.16784202427432587,0.16784202427432587,6.594348232421274e-168,0.10717202735015056,True
MCF7,E2F1,CIT,up,0.1907721527688251,0.1907721527688251,3.2077976372207884e-217,0.10717202735015056,True
MCF7,E2F1,SPC25,up,0.3414223944668274,0.3414223944668274,0.0,0.10717202735015056,True
MCF7,E2F1,RADIL,up,0.36028282653463406,0.36028282653463406,0.0,0.10717202735015056,True
MCF7,E2F1,PBK,up,0.20569323954642052,0.20569323954642052,5.983446735210028e-253,0.10717202735015056,True
MCF7,E2F1,MELK,up,0.26723800823704424,0.26723800823704424,0.0,0.10717202735015056,True
MCF7,E2F1,NEIL3,up,0.33229716381706315,0.33229716381706315,0.0,0.10717202735015056,True
MCF7,E2F1,KNL1,up,0.18358254244585956,0.18358254244585956,4.9121860034391714e-201,0.10717202735015056,True
MCF7,E2F1,AL662884.3,up,0.3905584877755544,0.3905584877755544,0.0,0.10717202735015056,True
MCF7,E2F1,RIBC2,up,0.33542874355578006,0.33542874355578006,0.0,0.10717202735015056,True
MCF7,E2F1,SPC24,up,0.30245639099573773,0.30245639099573773,0.0,0.10717202735015056,True
MCF7,E2F1,MT1X,up,0.2629683955259115,0.2629683955259115,0.0,0.10717202735015056,True
MCF7,E2F1,TROAP,up,0.11839258893950218,0.11839258893950218,6.131727262415435e-84,0.10717202735015056,True
MCF7,E2F1,LMNB1,up,0.1365209691377203,0.1365209691377203,3.1157488606333143e-111,0.10717202735015056,True
MCF7,E2F1,ARHGEF39,up,0.28819304232419335,0.28819304232419335,0.0,0.10717202735015056,True
MCF7,E2F1,SLC18B1,up,0.3310219993758498,0.3310219993758498,0.0,0.10717202735015056,True
MCF7,E2F1,RRM2,up,0.340066786757995,0.340066786757995,0.0,0.10717202735015056,True
MCF7,E2F1,NMU,up,0.22418694683145218,0.22418694683145218,2.6195688632067343e-301,0.10717202735015056,True
MCF7,E2F1,MND1,up,0.3218284383255987,0.3218284383255987,0.0,0.10717202735015056,True
MCF7,E2F1,KIF2C,up,0.2383335987506802,0.2383335987506802,0.0,0.10717202735015056,True
MCF7,E2F1,KIF18B,up,0.27738223852031263,0.27738223852031263,0.0,0.10717202735015056,True
MCF7,E2F1,PIMREG,up,0.21230053990800812,0.21230053990800812,1.0526837346221545e-269,0.10717202735015056,True
MCF7,E2F1,KIF11,up,0.15719247138795314,0.15719247138795314,2.869415124735584e-147,0.10717202735015056,True
MCF7,E2F1,CCDC28B,up,0.3431964298260978,0.3431964298260978,0.0,0.10717202735015056,True
MCF7,E2F1,FAM72D,up,0.28208629508283395,0.28208629508283395,0.0,0.10717202735015056,True
MCF7,E2F1,MPP2,up,0.31832880532994146,0.31832880532994146,0.0,0.10717202735015056,True
MCF7,E2F1,BIRC5,up,0.10990942073202374,0.10990942073202374,1.566096933147021e-72,0.10717202735015056,True
MCF7,E2F1,WDR76,up,0.4167076048192754,0.4167076048192754,0.0,0.10717202735015056,True
MCF7,E2F1,GPR37L1,up,0.2612428900671158,0.2612428900671158,0.0,0.10717202735015056,True
MCF7,E2F1,KIF20A,up,0.10107531096241414,0.10107531096241414,1.4358588851788878e-61,0.10717202735015056,True
MCF7,E2F1,MT1F,up,0.3344572603663801,0.3344572603663801,0.0,0.10717202735015056,True
MCF7,E2F1,TIFA,up,0.27481783274693605,0.27481783274693605,0.0,0.10717202735015056,True
MCF7,E2F1,GAS2L3,up,0.10779161331213612,0.10779161331213612,8.088121759545337e-70,0.10717202735015056,True
MCF7,E2F1,CDC20,up,0.10748423942848323,0.10748423942848323,1.9822013800652183e-69,0.10717202735015056,True
