gene,direction,cell_lines_supported,mean_log2_fold_change,minimum_adjusted_p_value,absolute_mean_log2_fold_change,comparison,required_cell_lines
NCMAP,up,2,2.9188954,6.204054878505034e-09,2.9188954,REPOP_vs_TIS,2
H4C3,up,2,2.8558727499999996,0.0,2.8558727499999996,REPOP_vs_TIS,2
PHGDH,up,2,2.4988236,0.0,2.4988236,REPOP_vs_TIS,2
S1PR5,up,2,2.4932634499999997,1.0232967457985896e-52,2.4932634499999997,REPOP_vs_TIS,2
H1-5,up,2,2.3121335500000004,0.0008736243463708,2.3121335500000004,REPOP_vs_TIS,2
MIR924HG,up,2,2.18804185,2.1087726430253345e-13,2.18804185,REPOP_vs_TIS,2
NXPH3,up,2,2.18747855,1.2719108829173414e-50,2.18747855,REPOP_vs_TIS,2
HMGB2,up,2,2.1522072999999997,0.0,2.1522072999999997,REPOP_vs_TIS,2
SOWAHA,up,2,2.14976235,1.1484550192001587e-36,2.14976235,REPOP_vs_TIS,2
PLA2G3,up,2,2.09247815,3.514646722665177e-08,2.09247815,REPOP_vs_TIS,2
CPT1C,up,2,2.07264755,1.3618276420960423e-24,2.07264755,REPOP_vs_TIS,2
TNFAIP8L1,up,2,2.06778735,3.84516869357394e-87,2.06778735,REPOP_vs_TIS,2
ITGA2B,up,2,2.0351305650000002,6.810283374659805e-23,2.0351305650000002,REPOP_vs_TIS,2
SMARCA1,up,2,2.01727015,0.0,2.01727015,REPOP_vs_TIS,2
ZNF710-AS1,up,2,2.0161517499999997,8.804713777958774e-55,2.0161517499999997,REPOP_vs_TIS,2
SEMA6B,up,2,2.015917,1.5500688558029502e-67,2.015917,REPOP_vs_TIS,2
MAP2K6,up,2,1.9992993000000001,9.596588823044287e-74,1.9992993000000001,REPOP_vs_TIS,2
NRM,up,2,1.9771555,6.508998724942808e-141,1.9771555,REPOP_vs_TIS,2
PIF1,up,2,1.9719038,8.444888145818421e-104,1.9719038,REPOP_vs_TIS,2
ASPM,up,2,1.9386575499999998,0.0,1.9386575499999998,REPOP_vs_TIS,2
DEPDC1B,up,2,1.9361484999999998,7.020638948060128e-106,1.9361484999999998,REPOP_vs_TIS,2
CCDC88A,up,2,1.93245995,5.912863355067912e-14,1.93245995,REPOP_vs_TIS,2
FBXO17,up,2,1.9174063499999998,0.0,1.9174063499999998,REPOP_vs_TIS,2
SLFN11,up,2,1.915575365,2.659106665417391e-28,1.915575365,REPOP_vs_TIS,2
YBX2,up,2,1.9147101000000002,0.0,1.9147101000000002,REPOP_vs_TIS,2
CRABP1,up,2,1.8960902000000002,2.068999017061428e-74,1.8960902000000002,REPOP_vs_TIS,2
PDE4A,up,2,1.8904808499999999,2.0889581259253648e-21,1.8904808499999999,REPOP_vs_TIS,2
PTTG1,up,2,1.8806817,0.0,1.8806817,REPOP_vs_TIS,2
NUSAP1,up,2,1.87937195,6.611976434405517e-85,1.87937195,REPOP_vs_TIS,2
ECHDC3,up,2,1.8753074699999999,1.8135798405063784e-20,1.8753074699999999,REPOP_vs_TIS,2
BCL2,up,2,1.8690641499999998,6.602744492877326e-162,1.8690641499999998,REPOP_vs_TIS,2
AURKB,up,2,1.86532355,0.0,1.86532355,REPOP_vs_TIS,2
RIPPLY3,up,2,1.8562568499999998,8.020478593414645e-156,1.8562568499999998,REPOP_vs_TIS,2
ARHGAP11A,up,2,1.8536927,0.0,1.8536927,REPOP_vs_TIS,2
TNFRSF18,up,2,1.8499333,5.778047774004537e-41,1.8499333,REPOP_vs_TIS,2
H1-3,up,2,1.8497715499999998,3.7326330731903165e-77,1.8497715499999998,REPOP_vs_TIS,2
PRC1,up,2,1.84561135,0.0,1.84561135,REPOP_vs_TIS,2
MKI67,up,2,1.8454272499999997,0.0,1.8454272499999997,REPOP_vs_TIS,2
