rank,gene,priority_score,evidence_source_count,evidence_sources,escape_marker_effect,escape_marker_direction,trajectory_correlation,trajectory_direction,differential_expression_effect,de_direction,de_cell_lines_supported,regulatory_effect,transition_model_effect,transition_model_direction,signature_direction
1,IFI6,0.8147518270098308,3,trajectory;differential_expression;signature,,,-0.5689972597471107,decreasing,-4.787615499999999,lower_in_repop,2.0,,,,down
2,TOP2A,0.7809166065664604,4,escape_marker;trajectory;differential_expression;signature,0.6964951753616333,higher_in_escape_prone,0.4584911953696116,increasing,1.82770655,higher_in_repop,2.0,,,,up
3,CLU,0.7603539739481504,2,trajectory;differential_expression,,,-0.5647966521015566,decreasing,-1.6971719,lower_in_repop,2.0,,,,
4,HMGB2,0.7573902312818401,3,trajectory;differential_expression;signature,,,0.5227446032898896,increasing,2.1522072999999997,higher_in_repop,2.0,,,,up
5,MYO1B,0.7054155897786791,2,differential_expression;signature,,,,,-2.87276125,lower_in_repop,2.0,,,,down
6,H4C3,0.705187779578552,2,differential_expression;signature,,,,,2.8558727499999996,higher_in_repop,2.0,,,,up
7,PHGDH,0.7003715177248218,2,differential_expression;signature,,,,,2.4988236,higher_in_repop,2.0,,,,up
8,KRT80,0.6995790414627282,2,differential_expression;signature,,,,,-2.4400741000000004,lower_in_repop,2.0,,,,down
9,SDC2,0.6971779366564773,2,differential_expression;signature,,,,,-2.2620704000000003,lower_in_repop,2.0,,,,down
10,PRC1,0.6915602903572053,2,differential_expression;signature,,,,,1.84561135,higher_in_repop,2.0,,,,up
11,DHTKD1,0.6908306961041671,2,differential_expression;signature,,,,,1.79152355,higher_in_repop,2.0,,,,up
12,LMNB1,0.6887235532582613,2,differential_expression;signature,,,,,1.63531245,higher_in_repop,2.0,,,,up
13,RRM2,0.6884224623231245,2,differential_expression;signature,,,,,1.61299135,higher_in_repop,2.0,,,,up
14,NUDT3,0.6882075072090454,2,differential_expression;signature,,,,,1.59705585,higher_in_repop,2.0,,,,up
15,KIF11,0.6880991043016356,2,differential_expression;signature,,,,,1.5890195,higher_in_repop,2.0,,,,up
16,CKS1B,0.6875863313758503,2,differential_expression;signature,,,,,1.5510055500000002,higher_in_repop,2.0,,,,up
17,E2F1,0.6874416343554115,3,differential_expression;regulatory;transition_model,,,,,0.9578554,higher_in_repop,2.0,0.1658956985900893,0.2255862605378652,supports_repop_prediction,
18,ZWINT,0.6869889853380513,2,differential_expression;signature,,,,,1.50672185,higher_in_repop,2.0,,,,up
