rank,gene,priority_score,evidence_source_count,escape_marker_score,trajectory_score,differential_expression_score,regulatory_score,transition_model_score,signature_score,has_escape_marker,has_trajectory,has_differential_expression,has_regulatory,has_transition_model,has_signature
1,IFI6,0.8147518270098308,3,,1.0,0.536879567524577,,,1.0,False,True,True,False,False,True
2,TOP2A,0.7809166065664604,4,1.0,0.6414591178051102,0.5369781568191161,,,1.0,True,True,True,False,False,True
3,CLU,0.7603539739481504,2,,0.986370978104454,0.5343369697918467,,,,False,True,True,False,False,False
4,HMGB2,0.7573902312818401,3,,0.8499316001936461,0.5435439780109539,,,1.0,False,True,True,False,False,True
5,MYO1B,0.7054155897786791,2,,,0.5581233846680188,,,1.0,False,False,True,False,False,True
6,H4C3,0.705187779578552,2,,,0.5577816693678281,,,1.0,False,False,True,False,False,True
7,PHGDH,0.7003715177248218,2,,,0.5505572765872329,,,1.0,False,False,True,False,False,True
8,KRT80,0.6995790414627282,2,,,0.5493685621940925,,,1.0,False,False,True,False,False,True
9,SDC2,0.6971779366564773,2,,,0.545766904984716,,,1.0,False,False,True,False,False,True
10,PRC1,0.6915602903572053,2,,,0.5373404355358081,,,1.0,False,False,True,False,False,True
11,DHTKD1,0.6908306961041671,2,,,0.5362460441562508,,,1.0,False,False,True,False,False,True
12,LMNB1,0.6887235532582613,2,,,0.5330853298873921,,,1.0,False,False,True,False,False,True
13,RRM2,0.6884224623231245,2,,,0.5326336934846869,,,1.0,False,False,True,False,False,True
14,NUDT3,0.6882075072090454,2,,,0.5323112608135683,,,1.0,False,False,True,False,False,True
15,KIF11,0.6880991043016356,2,,,0.5321486564524535,,,1.0,False,False,True,False,False,True
16,CKS1B,0.6875863313758503,2,,,0.5313794970637757,,,1.0,False,False,True,False,False,True
17,E2F1,0.6874416343554115,3,,,0.2967436772996757,1.0,1.0,,False,False,True,True,True,False
18,ZWINT,0.6869889853380513,2,,,0.5304834780070771,,,1.0,False,False,True,False,False,True
19,BCAS1,0.6837812817613224,3,0.6609164693702245,,0.5542529381308559,,,1.0,True,False,True,False,False,True
20,YBX2,0.6835576591719393,2,,,0.5253364887579091,,,1.0,False,False,True,False,False,True
21,ARHGAP11A,0.6796115438135014,2,,,0.5194173157202522,,,1.0,False,False,True,False,False,True
22,CCNA2,0.6722182796119277,2,,,0.5083274194178916,,,1.0,False,False,True,False,False,True
23,MKI67,0.6708860019200854,4,0.5936324654625107,0.7364452148437319,0.5373367105284501,,,1.0,True,True,True,False,False,True
24,CENPF,0.6703024014578206,4,0.6903415951058854,0.6167600607868159,0.5339469507976545,,,1.0,True,True,True,False,False,True
25,NUF2,0.6675860052084984,2,,,0.5013790078127478,,,1.0,False,False,True,False,False,True
26,ISG15,0.6665757308663266,2,,,0.49986359629949,,,1.0,False,False,True,False,False,True
27,FBXO17,0.6531246883732527,2,,,0.47968703255987916,,,1.0,False,False,True,False,False,True
28,NCF2,0.6524182021795357,2,,,0.47862730326930375,,,1.0,False,False,True,False,False,True
29,KIF14,0.6503130591297537,2,,,0.4754695886946307,,,1.0,False,False,True,False,False,True
30,ENC1,0.6496829350893555,2,,,0.47452440263403334,,,1.0,False,False,True,False,False,True
31,H4C8,0.6461169056612761,2,,,0.46917535849191416,,,1.0,False,False,True,False,False,True
32,PLK1,0.6453224467779706,2,,,0.4679836701669559,,,1.0,False,False,True,False,False,True
33,PBK,0.6421132486951168,2,,,0.46316987304267526,,,1.0,False,False,True,False,False,True
34,CDC20,0.6363605104807625,2,,,0.4545407657211437,,,1.0,False,False,True,False,False,True
35,GINS1,0.6352045905748,2,,,0.4528068858622001,,,1.0,False,False,True,False,False,True
36,NCAPH,0.6304158464734002,2,,,0.44562376971010054,,,1.0,False,False,True,False,False,True
37,RND1,0.625772321910648,2,,,0.4386584828659722,,,1.0,False,False,True,False,False,True
38,KNL1,0.6242033036182136,2,,,0.4363049554273206,,,1.0,False,False,True,False,False,True
39,UBE2C,0.6201602651399948,2,,,0.43024039770999223,,,1.0,False,False,True,False,False,True
40,IVL,0.6192567491510668,2,,,0.42888512372660026,,,1.0,False,False,True,False,False,True
41,H2AZ1,0.6153880489342868,3,0.40274096041983903,0.9671201202882573,0.529464838223376,,,,True,True,True,False,False,False
42,IFI27,0.6117934528541784,3,,0.700726420559482,0.32875721157596405,,,1.0,False,True,True,False,False,True
43,KIF20A,0.6085210341331331,2,,,0.4127815511996997,,,1.0,False,False,True,False,False,True
44,SYTL2,0.607813155021956,2,,,0.41171973253293415,,,1.0,False,False,True,False,False,True
45,GPRC5A,0.6065401780514027,2,,,0.409810267077104,,,1.0,False,False,True,False,False,True
46,ANXA1,0.6065387251303759,2,,,0.409808087695564,,,1.0,False,False,True,False,False,True
47,GAS2L3,0.6053413605080713,2,,,0.4080120407621071,,,1.0,False,False,True,False,False,True
48,AURKB,0.6030594551555394,2,,,0.40458918273330924,,,1.0,False,False,True,False,False,True
49,MELK,0.5980906638233262,2,,,0.3971359957349894,,,1.0,False,False,True,False,False,True
50,MACC1,0.5963635313460357,2,,,0.3945452970190536,,,1.0,False,False,True,False,False,True
51,CIT,0.5912465124873864,2,,,0.38686976873107953,,,1.0,False,False,True,False,False,True
52,ESPL1,0.5859510440555412,2,,,0.3789265660833119,,,1.0,False,False,True,False,False,True
53,BCYRN1,0.5851550209384139,2,,,0.37773253140762086,,,1.0,False,False,True,False,False,True
54,NRM,0.5809614634516467,2,,,0.3714421951774701,,,1.0,False,False,True,False,False,True
55,KIF15,0.5804350266869417,2,,,0.3706525400304126,,,1.0,False,False,True,False,False,True
56,KIF2C,0.5783021720300318,2,,,0.36745325804504786,,,1.0,False,False,True,False,False,True
57,H2BC4,0.5745543510701387,2,,,0.3618315266052081,,,1.0,False,False,True,False,False,True
58,RIPPLY3,0.5712413185302311,2,,,0.35686197779534673,,,1.0,False,False,True,False,False,True
59,L1CAM,0.5691528047863307,2,,,0.353729207179496,,,1.0,False,False,True,False,False,True
60,PLOD2,0.5683738604004264,2,,,0.3525607906006397,,,1.0,False,False,True,False,False,True
