rank,gene,escape_marker_effect,escape_marker_score,escape_marker_direction,trajectory_correlation,trajectory_score,trajectory_direction,differential_expression_effect,de_cell_lines_supported,de_direction,differential_expression_score,regulatory_effect,regulatory_score,transition_model_effect,transition_model_score,transition_model_direction,signature_score,signature_direction,evidence_source_count,available_evidence_weight,priority_score,evidence_sources
1,IFI6,,,,-0.5689972597471107,1.0,decreasing,-4.787615499999999,2.0,lower_in_repop,0.536879567524577,,,,,,1.0,down,3,0.5,0.8147518270098308,trajectory;differential_expression;signature
2,TOP2A,0.6964951753616333,1.0,higher_in_escape_prone,0.4584911953696116,0.6414591178051102,increasing,1.82770655,2.0,higher_in_repop,0.5369781568191161,,,,,,1.0,up,4,0.75,0.7809166065664604,escape_marker;trajectory;differential_expression;signature
3,CLU,,,,-0.5647966521015566,0.986370978104454,decreasing,-1.6971719,2.0,lower_in_repop,0.5343369697918467,,,,,,,,2,0.4,0.7603539739481504,trajectory;differential_expression
4,HMGB2,,,,0.5227446032898896,0.8499316001936461,increasing,2.1522072999999997,2.0,higher_in_repop,0.5435439780109539,,,,,,1.0,up,3,0.5,0.7573902312818401,trajectory;differential_expression;signature
5,MYO1B,,,,,,,-2.87276125,2.0,lower_in_repop,0.5581233846680188,,,,,,1.0,down,2,0.30000000000000004,0.7054155897786791,differential_expression;signature
6,H4C3,,,,,,,2.8558727499999996,2.0,higher_in_repop,0.5577816693678281,,,,,,1.0,up,2,0.30000000000000004,0.705187779578552,differential_expression;signature
7,PHGDH,,,,,,,2.4988236,2.0,higher_in_repop,0.5505572765872329,,,,,,1.0,up,2,0.30000000000000004,0.7003715177248218,differential_expression;signature
8,KRT80,,,,,,,-2.4400741000000004,2.0,lower_in_repop,0.5493685621940925,,,,,,1.0,down,2,0.30000000000000004,0.6995790414627282,differential_expression;signature
9,SDC2,,,,,,,-2.2620704000000003,2.0,lower_in_repop,0.545766904984716,,,,,,1.0,down,2,0.30000000000000004,0.6971779366564773,differential_expression;signature
10,PRC1,,,,,,,1.84561135,2.0,higher_in_repop,0.5373404355358081,,,,,,1.0,up,2,0.30000000000000004,0.6915602903572053,differential_expression;signature
11,DHTKD1,,,,,,,1.79152355,2.0,higher_in_repop,0.5362460441562508,,,,,,1.0,up,2,0.30000000000000004,0.6908306961041671,differential_expression;signature
12,LMNB1,,,,,,,1.63531245,2.0,higher_in_repop,0.5330853298873921,,,,,,1.0,up,2,0.30000000000000004,0.6887235532582613,differential_expression;signature
13,RRM2,,,,,,,1.61299135,2.0,higher_in_repop,0.5326336934846869,,,,,,1.0,up,2,0.30000000000000004,0.6884224623231245,differential_expression;signature
14,NUDT3,,,,,,,1.59705585,2.0,higher_in_repop,0.5323112608135683,,,,,,1.0,up,2,0.30000000000000004,0.6882075072090454,differential_expression;signature
15,KIF11,,,,,,,1.5890195,2.0,higher_in_repop,0.5321486564524535,,,,,,1.0,up,2,0.30000000000000004,0.6880991043016356,differential_expression;signature
