gene,full_rank,full_priority_score,rank_without_escape_marker,score_without_escape_marker,rank_shift_without_escape_marker,rank_without_trajectory,score_without_trajectory,rank_shift_without_trajectory,rank_without_differential_expression,score_without_differential_expression,rank_shift_without_differential_expression,rank_without_regulatory,score_without_regulatory,rank_shift_without_regulatory,rank_without_transition_model,score_without_transition_model,rank_shift_without_transition_model,rank_without_signature,score_without_signature,rank_shift_without_signature,mean_absolute_rank_shift,maximum_absolute_rank_shift,rank_stability_score
IFI6,1,0.8147518270098308,1,0.8147518270098308,0,9,0.6912530450163846,8,2,1.0,1,1,0.8147518270098308,0,1,0.8147518270098308,0,1,0.7684397837622886,0,1.5,8,0.4
TOP2A,2,0.7809166065664604,32,0.6713749098496906,30,1,0.8316284206614967,-1,188,0.8696214973836764,186,2,0.7809166065664604,0,2,0.7809166065664604,0,3,0.7472114691151467,1,36.333333333333336,186,0.026785714285714284
CLU,3,0.7603539739481504,2,0.7603539739481504,-1,88,0.5343369697918467,85,186,0.986370978104454,183,3,0.7603539739481504,0,3,0.7603539739481504,0,2,0.7603539739481504,-1,45.0,183,0.021739130434782608
HMGB2,4,0.7573902312818401,3,0.7573902312818401,-1,7,0.6956959853406359,3,187,0.8999544001290973,183,4,0.7573902312818401,0,4,0.7573902312818401,0,4,0.6967377891023,0,31.166666666666668,183,0.0310880829015544
MYO1B,5,0.7054155897786791,6,0.7054155897786791,1,2,0.7054155897786791,-3,110,1.0,105,5,0.7054155897786791,0,5,0.7054155897786791,0,10,0.5581233846680188,5,19.0,105,0.05
H4C3,6,0.705187779578552,7,0.705187779578552,1,3,0.705187779578552,-3,71,1.0,65,6,0.705187779578552,0,6,0.705187779578552,0,11,0.5577816693678281,5,12.333333333333334,65,0.075
PHGDH,7,0.7003715177248218,9,0.7003715177248218,2,4,0.7003715177248218,-3,130,1.0,123,7,0.7003715177248218,0,7,0.7003715177248218,0,13,0.5505572765872329,6,22.333333333333332,123,0.04285714285714286
KRT80,8,0.6995790414627282,10,0.6995790414627282,2,5,0.6995790414627282,-3,92,1.0,84,8,0.6995790414627282,0,8,0.6995790414627282,0,14,0.5493685621940925,6,15.833333333333334,84,0.059405940594059396
SDC2,9,0.6971779366564773,11,0.6971779366564773,2,6,0.6971779366564773,-3,152,1.0,143,9,0.6971779366564773,0,9,0.6971779366564773,0,15,0.545766904984716,6,25.666666666666668,143,0.0375
PRC1,10,0.6915602903572053,15,0.6915602903572053,5,8,0.6915602903572053,-2,138,1.0,128,10,0.6915602903572053,0,10,0.6915602903572053,0,18,0.5373404355358081,8,23.833333333333332,128,0.04026845637583893
DHTKD1,11,0.6908306961041671,17,0.6908306961041671,6,10,0.6908306961041671,-1,42,1.0,31,11,0.6908306961041671,0,11,0.6908306961041671,0,19,0.5362460441562508,8,7.666666666666667,31,0.11538461538461536
LMNB1,12,0.6887235532582613,19,0.6887235532582613,7,12,0.6887235532582613,0,97,1.0,85,13,0.6887235532582613,1,12,0.6887235532582613,0,23,0.5330853298873921,11,17.333333333333332,85,0.05454545454545455
RRM2,13,0.6884224623231245,20,0.6884224623231245,7,13,0.6884224623231245,0,146,1.0,133,14,0.6884224623231245,1,13,0.6884224623231245,0,24,0.5326336934846869,11,25.333333333333332,133,0.0379746835443038
NUDT3,14,0.6882075072090454,21,0.6882075072090454,7,14,0.6882075072090454,0,120,1.0,106,15,0.6882075072090454,1,14,0.6882075072090454,0,26,0.5323112608135683,12,21.0,106,0.045454545454545456
KIF11,15,0.6880991043016356,22,0.6880991043016356,7,15,0.6880991043016356,0,82,1.0,67,16,0.6880991043016356,1,15,0.6880991043016356,0,27,0.5321486564524535,12,14.5,67,0.06451612903225806
CKS1B,16,0.6875863313758503,25,0.6875863313758503,9,16,0.6875863313758503,0,31,1.0,15,17,0.6875863313758503,1,16,0.6875863313758503,0,28,0.5313794970637757,12,6.166666666666667,15,0.13953488372093023
E2F1,17,0.6874416343554115,26,0.6874416343554115,9,17,0.6874416343554115,0,1,1.0,-16,103,0.5311624515331171,86,48,0.5981392441712433,31,5,0.6874416343554115,-12,25.666666666666668,86,0.0375
ZWINT,18,0.6869889853380513,28,0.6869889853380513,10,18,0.6869889853380513,0,185,1.0,167,18,0.6869889853380513,0,17,0.6869889853380513,-1,30,0.5304834780070771,12,31.666666666666668,167,0.03061224489795918
BCAS1,19,0.6837812817613224,8,0.7028352920872372,-11,19,0.6837812817613224,0,190,0.757797478121589,171,19,0.6837812817613224,0,18,0.6837812817613224,-1,9,0.6135104554860606,-10,32.166666666666664,171,0.030150753768844223
YBX2,20,0.6835576591719393,29,0.6835576591719393,9,20,0.6835576591719393,0,183,1.0,163,20,0.6835576591719393,0,19,0.6835576591719393,-1,44,0.5253364887579091,24,32.833333333333336,163,0.029556650246305417
ARHGAP11A,21,0.6796115438135014,30,0.6796115438135014,9,21,0.6796115438135014,0,13,1.0,-8,21,0.6796115438135014,0,20,0.6796115438135014,-1,70,0.5194173157202522,49,11.166666666666666,49,0.08219178082191782
CCNA2,22,0.6722182796119277,31,0.6722182796119277,9,22,0.6722182796119277,0,25,1.0,3,22,0.6722182796119277,0,21,0.6722182796119277,-1,139,0.5083274194178916,117,21.666666666666668,117,0.044117647058823525
MKI67,23,0.6708860019200854,5,0.7095127701488728,-18,29,0.6470462881296686,6,192,0.7194493806079528,169,23,0.6708860019200854,0,22,0.6708860019200854,-1,6,0.6202530791385601,-17,35.166666666666664,169,0.027649769585253458
CENPF,24,0.6703024014578206,35,0.6602828046337883,11,11,0.6897723435200042,-13,191,0.7198862016978809,167,24,0.6703024014578206,0,23,0.6703024014578206,-1,7,0.619579693989793,-17,34.833333333333336,167,0.027906976744186046
NUF2,25,0.6675860052084984,33,0.6675860052084984,8,23,0.6675860052084984,-2,121,1.0,96,25,0.6675860052084984,0,24,0.6675860052084984,-1,144,0.5013790078127478,119,37.666666666666664,119,0.025862068965517244
ISG15,26,0.6665757308663266,34,0.6665757308663266,8,24,0.6665757308663266,-2,78,1.0,52,26,0.6665757308663266,0,25,0.6665757308663266,-1,148,0.49986359629949,122,30.833333333333332,122,0.031413612565445025
FBXO17,27,0.6531246883732527,36,0.6531246883732527,9,25,0.6531246883732527,-2,54,1.0,27,27,0.6531246883732527,0,26,0.6531246883732527,-1,172,0.47968703255987916,145,30.666666666666668,145,0.031578947368421054
