perturbation_rank,model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength,confidence_score,intervention_score,predicted_effect
1,rap_plus_pathways,HMGB2,inhibit,1.0,differential_expression_effect,0.7573902312818401,3.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0,0.57869511564092,0.1880277501533908,predicted_suppression
2,rap_plus_pathways,RRM2,inhibit,1.0,differential_expression_effect,0.6884224623231245,2.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0,0.5108778978282289,0.16599279851420143,predicted_suppression
3,rap_plus_pathways,GINS1,inhibit,1.0,differential_expression_effect,0.6352045905748,2.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0,0.48426896195406666,0.15734710890810655,predicted_suppression
4,rap_plus_pathways,MELK,inhibit,1.0,differential_expression_effect,0.5980906638233262,2.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0,0.46571199857832973,0.15131764023122948,predicted_suppression
5,rap_plus_pathways,KRT80,activate,-1.0,differential_expression_effect,0.6995790414627282,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.26042179674815136,-0.1489844779551722,0.1489844779551722,0.16305950486177206,0.289115722265103,79508,1.0,1.0,0.5164561873980308,0.0769439554662142,predicted_suppression
6,rap_plus_pathways,IVL,activate,-1.0,differential_expression_effect,0.6192567491510668,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.26042179674815136,-0.1489844779551722,0.1489844779551722,0.16305950486177206,0.289115722265103,79508,1.0,1.0,0.4762950412422,0.07096056807210638,predicted_suppression
7,rap_plus_pathways,CLU,activate,-1.0,differential_expression_effect,0.7603539739481504,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.44684365364074186,0.04980761137296046,predicted_suppression
8,rap_plus_pathways,BCAS1,activate,-1.0,differential_expression_effect,0.6837812817613224,3.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4418906408806612,0.04925552177144236,predicted_suppression
9,rap_plus_pathways,MYO1B,activate,-1.0,differential_expression_effect,0.7054155897786791,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4193744615560062,0.04674574659556404,predicted_suppression
10,rap_plus_pathways,H4C3,inhibit,1.0,differential_expression_effect,0.705187779578552,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4192605564559427,0.04673305011680432,predicted_suppression
11,rap_plus_pathways,PHGDH,inhibit,1.0,differential_expression_effect,0.7003715177248218,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.41685242552907753,0.046464626814015426,predicted_suppression
12,rap_plus_pathways,SDC2,activate,-1.0,differential_expression_effect,0.6971779366564773,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4152556349949053,0.04628663990131773,predicted_suppression
13,rap_plus_pathways,DHTKD1,inhibit,1.0,differential_expression_effect,0.6908306961041671,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4120820147187502,0.04593289101382169,predicted_suppression
14,rap_plus_pathways,NUDT3,inhibit,1.0,differential_expression_effect,0.6882075072090454,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4107704202711894,0.04578669360004894,predicted_suppression
15,rap_plus_pathways,ZWINT,inhibit,1.0,differential_expression_effect,0.6869889853380513,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4101611593356923,0.04571878207964865,predicted_suppression
16,rap_plus_pathways,YBX2,inhibit,1.0,differential_expression_effect,0.6835576591719393,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.4084454962526363,0.04552754498946835,predicted_suppression
17,rap_plus_pathways,ARHGAP11A,inhibit,1.0,differential_expression_effect,0.6796115438135014,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.40647243857341736,0.045307617304914095,predicted_suppression
18,rap_plus_pathways,NUF2,inhibit,1.0,differential_expression_effect,0.6675860052084984,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.40045966927091586,0.04463740150515017,predicted_suppression
19,rap_plus_pathways,FBXO17,inhibit,1.0,differential_expression_effect,0.6531246883732527,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.393229010853293,0.043831433194978904,predicted_suppression
20,rap_plus_pathways,NCF2,activate,-1.0,differential_expression_effect,0.6524182021795357,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3928757677564345,0.04379205880810968,predicted_suppression
21,rap_plus_pathways,KIF14,inhibit,1.0,differential_expression_effect,0.6503130591297537,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3918231962315435,0.04367473349079373,predicted_suppression
22,rap_plus_pathways,ENC1,activate,-1.0,differential_expression_effect,0.6496829350893555,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3915081342113444,0.04363961497331542,predicted_suppression
23,rap_plus_pathways,H4C8,activate,-1.0,differential_expression_effect,0.6461169056612761,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3897251194973047,0.04344087050592603,predicted_suppression
24,rap_plus_pathways,NCAPH,inhibit,1.0,differential_expression_effect,0.6304158464734002,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.38187458990336676,0.04256580800050403,predicted_suppression
25,rap_plus_pathways,RND1,activate,-1.0,differential_expression_effect,0.625772321910648,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.37955282762199066,0.042307011814256404,predicted_suppression
26,rap_plus_pathways,KIF20A,inhibit,1.0,differential_expression_effect,0.6085210341331331,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3709271837332332,0.041345550875620814,predicted_suppression
27,rap_plus_pathways,SYTL2,activate,-1.0,differential_expression_effect,0.607813155021956,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.37057324417764465,0.04130609885769321,predicted_suppression
28,rap_plus_pathways,GPRC5A,activate,-1.0,differential_expression_effect,0.6065401780514027,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.369936755692368,0.04123515240727431,predicted_suppression
29,rap_plus_pathways,ANXA1,activate,-1.0,differential_expression_effect,0.6065387251303759,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3699360292318546,0.04123507143205482,predicted_suppression
30,rap_plus_pathways,GAS2L3,inhibit,1.0,differential_expression_effect,0.6053413605080713,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3693373469207023,0.04116833906236179,predicted_suppression
31,rap_plus_pathways,MACC1,activate,-1.0,differential_expression_effect,0.5963635313460357,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0,0.3648484323396845,0.0406679803549793,predicted_suppression
32,rap_plus_pathways,IFI6,activate,-1.0,differential_expression_effect,0.8147518270098308,3.0,1,Interferon Alpha/Beta Signaling R-HSA-909733,0.40940627470332364,0.4807507616655194,0.07134448696219584,-0.07134448696219584,-0.06927021532841456,-9.388600284421384e-10,0,0.0,1.0,0.6073759135049154,-0.04333292294220322,predicted_worsening
33,rap_plus_pathways,ISG15,activate,-1.0,differential_expression_effect,0.6665757308663266,2.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.5845744202311228,0.1751681455277992,-0.1751681455277992,-0.16612384344826236,-4.268107175271458e-09,0,0.0,1.0,0.6999545320998299,-0.1226097373417056,predicted_worsening
