gene,cell_lines,mean_spearman_correlation,minimum_absolute_correlation,maximum_p_value,direction
CLU,2,-0.5647966521015566,0.5449685691124332,0.0,decreasing
H2AZ1,2,0.5588633355990263,0.4992146546593426,0.0,increasing
HMGB2,2,0.5227446032898896,0.4533078115822499,0.0,increasing
MKI67,2,0.48776690777947784,0.400228449943062,0.0,increasing
CENPF,2,0.45087868666985464,0.3908175436506167,0.0,increasing
SMC4,2,0.45836429148233304,0.38050417731416936,0.0,increasing
TUBA1B,2,0.43141213317960636,0.3784031918399009,0.0,increasing
IFI6,2,-0.5689972597471107,0.3663900313180221,0.0,decreasing
TOP2A,2,0.4584911953696116,0.3661984200253297,0.0,increasing
TPX2,2,0.41669978596063784,0.32591087034076055,0.0,increasing
CLDN1,2,-0.3898430364857807,0.25896980055460306,0.0,decreasing
MYL12A,2,-0.4072691239286689,0.2259559946797906,0.0,decreasing
ARL6IP1,2,0.2746495238765111,0.2247301592857792,8.484069500905276e-303,increasing
IFI27,2,-0.4767580003530816,0.21876564449385275,1.1673052349997236e-286,decreasing
IGFBP5,2,-0.2607867602888313,0.2170161703452385,0.0,decreasing
