cell_line,feature,cells,spearman_correlation,absolute_correlation,p_value,direction
MCF7,rap_score,26697,0.8750254759067676,0.8750254759067676,0.0,increasing
MCF7,repopulation_associated_potential,26697,0.8750254759067676,0.8750254759067676,0.0,increasing
T47D,rap_score,52811,0.8694321638526362,0.8694321638526362,0.0,increasing
T47D,repopulation_associated_potential,52811,0.8694321638526362,0.8694321638526362,0.0,increasing
MCF7,pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,26697,0.7128738818352377,0.7128738818352377,0.0,increasing
T47D,pathway__myc_targets_v1,52811,0.7056542851999047,0.7056542851999047,0.0,increasing
MCF7,pathway__mrna_splicing_r_hsa_72172,26697,0.7055389458848272,0.7055389458848272,0.0,increasing
MCF7,pathway__mrna_splicing_major_pathway_r_hsa_72163,26697,0.7032529295014919,0.7032529295014919,0.0,increasing
MCF7,pathway__mitochondrial_translation_r_hsa_5368287,26697,0.6561308779896539,0.6561308779896539,0.0,increasing
MCF7,pathway__mitochondrial_translation_initiation_r_hsa_5368286,26697,0.654169124871651,0.654169124871651,0.0,increasing
MCF7,pathway__mitochondrial_translation_termination_r_hsa_5419276,26697,0.654069981231988,0.654069981231988,0.0,increasing
MCF7,pathway__mitochondrial_translation_elongation_r_hsa_5389840,26697,0.6534892964537686,0.6534892964537686,0.0,increasing
MCF7,pathway__g2_m_checkpoint,26697,0.6364254448071538,0.6364254448071538,0.0,increasing
T47D,pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,52811,0.6320868017329415,0.6320868017329415,0.0,increasing
MCF7,pathway__e2f_targets,26697,0.6274563908413012,0.6274563908413012,0.0,increasing
T47D,pathway__mrna_splicing_major_pathway_r_hsa_72163,52811,0.6149632640722389,0.6149632640722389,0.0,increasing
T47D,pathway__mrna_splicing_r_hsa_72172,52811,0.6139939618823069,0.6139939618823069,0.0,increasing
T47D,pathway__e2f_targets,52811,0.5817922012053248,0.5817922012053248,0.0,increasing
MCF7,pathway__myc_targets_v1,26697,0.5248650587475188,0.5248650587475188,0.0,increasing
T47D,pathway__g2_m_checkpoint,52811,0.5220864868825897,0.5220864868825897,0.0,increasing
T47D,pathway__mitochondrial_translation_r_hsa_5368287,52811,0.47867386345530166,0.47867386345530166,0.0,increasing
T47D,pathway__mitochondrial_translation_elongation_r_hsa_5389840,52811,0.4751491006105957,0.4751491006105957,0.0,increasing
T47D,pathway__mitochondrial_translation_initiation_r_hsa_5368286,52811,0.47456565009162066,0.47456565009162066,0.0,increasing
T47D,pathway__mitochondrial_translation_termination_r_hsa_5419276,52811,0.4741446878257074,0.4741446878257074,0.0,increasing
MCF7,regulator__STAT3,26697,-0.37992255858234114,0.37992255858234114,0.0,decreasing
T47D,regulator__JUN,52811,-0.23722555297147904,0.23722555297147904,0.0,decreasing
T47D,regulator__STAT3,52811,-0.1885153939868144,0.1885153939868144,0.0,decreasing
MCF7,regulator__E2F1,26697,0.18379258942039256,0.18379258942039256,1.6898477178028098e-201,increasing
T47D,regulator__TP53,52811,0.1664502111346652,0.1664502111346652,0.0,increasing
MCF7,regulator__JUN,26697,-0.14765091747489079,0.14765091747489079,5.587632213896419e-130,decreasing
T47D,regulator__E2F1,52811,0.14666601486451272,0.14666601486451272,1.0217447871284982e-251,increasing
T47D,regulator__MYC,52811,0.1401845729415775,0.1401845729415775,6.267275555740168e-230,increasing
MCF7,regulator__FOS,26697,0.13148146773642316,0.13148146773642316,3.034668932975163e-103,increasing
MCF7,regulator__TP53,26697,0.10663481785278721,0.10663481785278721,2.3285869527439256e-68,increasing
T47D,regulator__FOS,52811,0.04166293398168798,0.04166293398168798,9.861471109549654e-22,increasing
MCF7,regulator__MYC,26697,0.001509146985822733,0.001509146985822733,0.8052399484995786,increasing
