cell_line,gene,cells,spearman_correlation,absolute_correlation,p_value,direction
T47D,IFI6,52811,-0.7716044881761993,0.7716044881761993,0.0,decreasing
T47D,IFI27,52811,-0.7347503562123104,0.7347503562123104,0.0,decreasing
T47D,HLA-B,52811,-0.6632085994814735,0.6632085994814735,0.0,decreasing
MCF7,CDKN1A,26697,-0.6536089791759917,0.6536089791759917,0.0,decreasing
MCF7,H2AZ1,26697,0.61851201653871,0.61851201653871,0.0,increasing
MCF7,TMSB4X,26697,-0.6151869402241639,0.6151869402241639,0.0,decreasing
MCF7,H1-0,26697,0.5993364807089209,0.5993364807089209,0.0,increasing
MCF7,SLC7A5,26697,0.5941546480567171,0.5941546480567171,0.0,increasing
T47D,STC2,52811,0.5932778349607307,0.5932778349607307,0.0,increasing
MCF7,HMGB2,26697,0.5921813949975293,0.5921813949975293,0.0,increasing
MCF7,MYL12A,26697,-0.5885822531775472,0.5885822531775472,0.0,decreasing
MCF7,CLU,26697,-0.5846247350906801,0.5846247350906801,0.0,decreasing
T47D,B2M,52811,-0.5767063219355733,0.5767063219355733,0.0,decreasing
MCF7,MKI67,26697,0.5753053656158936,0.5753053656158936,0.0,increasing
MCF7,TOP2A,26697,0.5507839707138934,0.5507839707138934,0.0,increasing
T47D,CLU,52811,-0.5449685691124332,0.5449685691124332,0.0,decreasing
MCF7,SMC4,26697,0.5362244056504967,0.5362244056504967,0.0,increasing
T47D,AGR2,52811,0.5349523792343027,0.5349523792343027,0.0,increasing
T47D,APOE,52811,-0.5242324894473818,0.5242324894473818,0.0,decreasing
MCF7,CLDN1,26697,-0.5207162724169584,0.5207162724169584,0.0,decreasing
T47D,PGR,52811,0.5138639417037542,0.5138639417037542,0.0,increasing
MCF7,CENPF,26697,0.5109398296890926,0.5109398296890926,0.0,increasing
MCF7,TPX2,26697,0.5074887015805151,0.5074887015805151,0.0,increasing
MCF7,CCND1,26697,-0.502568399238609,0.502568399238609,0.0,decreasing
T47D,H2AZ1,52811,0.4992146546593426,0.4992146546593426,0.0,increasing
T47D,TUBA1B,52811,0.4844210745193119,0.4844210745193119,0.0,increasing
MCF7,SULF2,26697,-0.4841527156833068,0.4841527156833068,0.0,decreasing
MCF7,MDK,26697,0.45569348406913845,0.45569348406913845,0.0,increasing
T47D,HMGB2,52811,0.4533078115822499,0.4533078115822499,0.0,increasing
T47D,IGFBP4,52811,0.4510105636780121,0.4510105636780121,0.0,increasing
T47D,PRLR,52811,0.4216467353235442,0.4216467353235442,0.0,increasing
MCF7,MGP,26697,-0.42067426667039975,0.42067426667039975,0.0,decreasing
MCF7,NCOA3,26697,0.40219523736903834,0.40219523736903834,0.0,increasing
T47D,MKI67,52811,0.400228449943062,0.400228449943062,0.0,increasing
MCF7,TFF1,26697,-0.3941292139799419,0.3941292139799419,0.0,decreasing
T47D,CENPF,52811,0.3908175436506167,0.3908175436506167,0.0,increasing
T47D,CDV3,52811,0.39019658353381476,0.39019658353381476,0.0,increasing
T47D,SMC4,52811,0.38050417731416936,0.38050417731416936,0.0,increasing
MCF7,STC2,26697,-0.379014809727225,0.379014809727225,0.0,decreasing
MCF7,TUBA1B,26697,0.3784031918399009,0.3784031918399009,0.0,increasing
T47D,PIP,52811,-0.3711291243152013,0.3711291243152013,0.0,decreasing
MCF7,IFI6,26697,-0.3663900313180221,0.3663900313180221,0.0,decreasing
T47D,TOP2A,52811,0.3661984200253297,0.3661984200253297,0.0,increasing
MCF7,IGFBP4,26697,-0.3546106136181245,0.3546106136181245,0.0,decreasing
MCF7,TXNIP,26697,0.3532802636501354,0.3532802636501354,0.0,increasing
MCF7,AGR2,26697,-0.3513328842218367,0.3513328842218367,0.0,decreasing
T47D,VMP1,52811,-0.34741427327035124,0.34741427327035124,0.0,decreasing
T47D,TPX2,52811,0.32591087034076055,0.32591087034076055,0.0,increasing
T47D,ARL6IP1,52811,0.324568888467243,0.324568888467243,0.0,increasing
T47D,NUPR1,52811,-0.30571676813232135,0.30571676813232135,0.0,decreasing
MCF7,IGFBP5,26697,-0.30455735023242414,0.30455735023242414,0.0,decreasing
T47D,TFRC,52811,0.28832190309299693,0.28832190309299693,0.0,increasing
MCF7,NUPR1,26697,0.25904694218821733,0.25904694218821733,0.0,increasing
T47D,CLDN1,52811,-0.25896980055460306,0.25896980055460306,0.0,decreasing
T47D,MGP,52811,0.2526134642672187,0.2526134642672187,0.0,increasing
T47D,KPNA2,52811,0.24898976818960958,0.24898976818960958,0.0,increasing
T47D,MYL12A,52811,-0.2259559946797906,0.2259559946797906,0.0,decreasing
MCF7,ARL6IP1,26697,0.2247301592857792,0.2247301592857792,8.484069500905276e-303,increasing
MCF7,IFI27,26697,-0.21876564449385275,0.21876564449385275,1.1673052349997236e-286,decreasing
T47D,IGFBP5,52811,-0.2170161703452385,0.2170161703452385,0.0,decreasing
T47D,MDK,52811,-0.21177777358686212,0.21177777358686212,0.0,decreasing
T47D,TP53I3,52811,0.2076925628227356,0.2076925628227356,0.0,increasing
MCF7,B2M,26697,0.2049668462096418,0.2049668462096418,3.835045530454035e-251,increasing
T47D,TXNIP,52811,-0.2028995798147942,0.2028995798147942,0.0,decreasing
MCF7,KPNA2,26697,0.19520458536984603,0.19520458536984603,1.5681351498844248e-227,increasing
T47D,TFF1,52811,0.18291905840406947,0.18291905840406947,0.0,increasing
MCF7,VMP1,26697,-0.16593969120772742,0.16593969120772742,4.076545202742667e-164,decreasing
T47D,CDKN1A,52811,-0.1557314701290447,0.1557314701290447,6.470853788039455e-284,decreasing
MCF7,HLA-B,26697,-0.15571575706986998,0.15571575706986998,1.6129807103133194e-144,decreasing
MCF7,PSMD6,26697,-0.1504104266265246,0.1504104266265246,7.295628220453777e-135,decreasing
MCF7,PRLR,26697,0.14334816417336413,0.14334816417336413,1.4966833614815348e-122,increasing
MCF7,RHOBTB3,26697,-0.13584726499870736,0.13584726499870736,3.797341436700252e-110,decreasing
T47D,CCND1,52811,0.1354160402199399,0.1354160402199399,1.4940534970718116e-214,increasing
MCF7,FOS,26697,0.13148146773642316,0.13148146773642316,3.034668932975163e-103,increasing
T47D,TMSB4X,52811,0.11128050121749228,0.11128050121749228,4.008657173496641e-145,increasing
MCF7,GFRA1,26697,0.1111394738019376,0.1111394738019376,3.929850886340514e-74,increasing
MCF7,TFRC,26697,-0.10862681900687375,0.10862681900687375,6.987438328364762e-71,decreasing
T47D,SERPINA6,52811,-0.10650734845522183,0.10650734845522183,4.850481779701089e-133,decreasing
T47D,SLC7A5,52811,0.10392905425442517,0.10392905425442517,9.724056522165537e-127,increasing
MCF7,TP53I3,26697,-0.08947223182413166,0.08947223182413166,1.3922864130732032e-48,decreasing
MCF7,SLC26A2,26697,-0.07307483982083046,0.07307483982083046,6.092610992980443e-33,decreasing
T47D,RHOBTB3,52811,-0.07098157202153206,0.07098157202153206,5.820865567947616e-60,decreasing
T47D,H1-0,52811,0.07056764341520003,0.07056764341520003,2.7718934662845715e-59,increasing
MCF7,EGR1,26697,0.070553935857922,0.070553935857922,8.120315961206552e-31,increasing
T47D,EGR1,52811,0.06674178845910096,0.06674178845910096,3.3069688825940794e-53,increasing
T47D,SLC26A2,52811,0.06382639187616283,0.06382639187616283,8.365325173904071e-49,increasing
T47D,GFRA1,52811,0.057669993523422974,0.057669993523422974,3.760776199221232e-40,increasing
MCF7,APOE,26697,0.04891648859792571,0.04891648859792571,1.2750379558602706e-15,increasing
MCF7,CDV3,26697,-0.0446503941751781,0.0446503941751781,2.902959011680604e-13,decreasing
T47D,SULF2,52811,0.04297719319878525,0.04297719319878525,5.044529115659884e-23,increasing
T47D,CSDE1,52811,0.04187568534989388,0.04187568534989388,6.132120905533702e-22,increasing
T47D,FOS,52811,0.04166293398168798,0.04166293398168798,9.861471109549654e-22,increasing
T47D,SLC39A6,52811,-0.03885620134880853,0.03885620134880853,4.1623592516525305e-19,decreasing
MCF7,PGR,26697,-0.03862952827444994,0.03862952827444994,2.7222485122699455e-10,decreasing
MCF7,CSDE1,26697,0.030300988804877162,0.030300988804877162,7.35115140086186e-07,increasing
T47D,PSMD6,52811,0.0284264100536933,0.0284264100536933,6.414824870934341e-11,increasing
MCF7,PIP,26697,-0.027905958394747712,0.027905958394747712,5.108314001000714e-06,decreasing
T47D,NCOA3,52811,0.01933968685121019,0.01933968685121019,8.801662524702242e-06,increasing
MCF7,SLC39A6,26697,0.015384199154858511,0.015384199154858511,0.01194758520974677,increasing
