feature,coefficient,absolute_coefficient
rap_score,3.6378619563988113,3.6378619563988113
pathway__g2_m_checkpoint,-3.059208192085464,3.059208192085464
pathway__e2f_targets,0.7023506465346047,0.7023506465346047
pathway__interferon_alpha_beta_signaling_r_hsa_909733,-0.6477667761144938,0.6477667761144938
pathway__interferon_gamma_response,-0.6391843760635454,0.6391843760635454
pathway__binding_and_uptake_of_ligands_by_scavenger_receptors_r_hsa_2173782,-0.500437759488607,0.500437759488607
pathway__immunoregulatory_interactions_between_a_lymphoid_and_a_non_lymphoid_cell_r_hsa_198933,0.3622252041693983,0.3622252041693983
regulator__FOS,0.3163221885824134,0.3163221885824134
pathway__interferon_alpha_response,0.20692565845437869,0.20692565845437869
regulator__E2F1,0.19821193748932406,0.19821193748932406
regulator__MYC,-0.14167783075822915,0.14167783075822915
regulator__STAT3,0.09069972337190413,0.09069972337190413
pathway__keratinization_r_hsa_6805567,0.08676843738345592,0.08676843738345592
pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,0.06346679369456573,0.06346679369456573
regulator__TP53,-0.0601459640138636,0.0601459640138636
pathway__cell_cell_communication_r_hsa_1500931,0.046279955571735365,0.046279955571735365
regulator__JUN,-0.0182957553727957,0.0182957553727957
